Region,Operator,Type,Cell,Freq,Band
A-R2,A,LTE,79,850,2
A-R4,A,LTE,171,5330,14
A-R1,A,LTE,99,66936,66
A-R2,A,LTE,367,850,2
A-R3,A,LTE,266,5330,14
A-R1,A,LTE,59,66486,66
A-R1,A,LTE,5,66936,66
A-R1,A,LTE,299,66661,66
A-R2,A,LTE,206,850,2
A-R5,A,LTE,73,52941,46
A-R1,A,LTE,71,52740,46
A-R1,A,LTE,85,53139,46
A-R2,A,LTE,437,850,2
A-R1,A,LTE,72,53139,46
A-R2,A,LTE,298,850,2
A-R2,A,LTE,321,66936,66
A-R2,A,LTE,159,66486,66
A-R1,A,LTE,174,850,2
A-R1,A,LTE,178,52740,46
A-R1,A,LTE,396,52941,46
A-R3,A,LTE,397,53139,46
A-R2,A,LTE,383,850,2
A-R2,A,LTE,369,5110,12
A-R2,A,LTE,261,66486,66
A-R2,A,LTE,360,66936,66
A-R2,A,LTE,429,850,2
A-R1,A,LTE,317,52740,46
A-R1,A,LTE,32,52941,46
A-R3,A,LTE,310,53139,46
A-R2,A,LTE,306,850,2
A-R1,A,LTE,353,52740,46
A-R1,A,LTE,33,52941,46
A-R1,A,LTE,358,53139,46
A-R5,A,LTE,91,5110,12
A-R1,A,LTE,291,850,2
A-R2,A,LTE,388,66486,66
A-R2,A,LTE,89,66936,66
A-R2,A,LTE,230,5110,12
A-R4,A,LTE,478,5110,12
A-R1,A,LTE,104,66936,66
A-R3,A,LTE,23,5110,12
A-R2,A,LTE,284,850,2
A-R2,A,LTE,217,9820,30
A-R2,A,LTE,182,850,2
A-R2,A,LTE,64,66486,66
A-R2,A,LTE,202,66936,66
A-R2,A,LTE,244,66936,66
A-R1,A,LTE,303,850,2
A-R1,A,LTE,430,5110,12
A-R2,A,LTE,411,850,2
A-R2,A,LTE,273,53139,46
A-R2,A,LTE,302,850,2
A-R3,A,LTE,39,53139,46
A-R3,A,LTE,38,52740,46
A-R2,A,LTE,189,52941,46
A-R3,A,LTE,218,52941,46
A-R2,A,LTE,426,52740,46
A-R1,A,LTE,462,850,2
A-R1,A,LTE,441,850,2
A-R1,A,LTE,80,52941,46
A-R2,A,LTE,39,850,2
A-R1,A,LTE,357,53341,46
A-R1,A,LTE,224,53539,46
A-R1,A,LTE,79,52740,46
A-R3,A,LTE,81,53139,46
A-R2,A,LTE,176,850,2
A-R1,A,LTE,170,52740,46
A-R1,A,LTE,271,52941,46
