Region,Operator,Type,Cell,Freq,Band
V-R9,V,LTE,76,66536,66
V-R10,V,LTE,326,55744,48
V-R9,V,LTE,328,66536,66
V-R10,V,LTE,328,55746,48
V-R10,V,LTE,328,56340,48
V-R10,V,LTE,328,55944,48
V-R11,V,LTE,328,925,2
V-R9,V,LTE,85,66536,66
V-R9,V,LTE,85,925,2
V-R10,V,LTE,326,55942,48
V-R7,V,LTE,326,56140,48
V-R10,V,LTE,326,47489,46
V-R10,V,LTE,326,47291,46
V-R10,V,LTE,326,47090,46
V-R10,V,LTE,382,925,2
V-R10,V,LTE,76,925,2
V-R10,V,LTE,325,47090,46
V-R10,V,LTE,325,47291,46
V-R11,V,LTE,135,925,2
V-R9,V,LTE,135,66536,66
V-R9,V,LTE,135,2561,5
V-R10,V,LTE,135,2050,4
V-R10,V,LTE,328,56142,48
V-R10,V,LTE,328,2050,4
V-R10,V,LTE,306,47090,46
V-R10,V,LTE,306,47291,46
V-R10,V,LTE,308,47489,46
V-R10,V,LTE,308,55744,48
V-R10,V,LTE,308,56140,48
V-R10,V,LTE,308,55942,48
V-R9,V,LTE,209,925,2
V-R10,V,LTE,76,2050,4
V-R10,V,LTE,76,2561,5
V-R10,V,LTE,269,5230,13
V-R10,V,LTE,226,55744,48
V-R10,V,LTE,226,56140,48
V-R10,V,LTE,226,55942,48
V-R6,V,LTE,328,5230,13
V-R9,V,LTE,382,5230,13
V-R10,V,LTE,308,47291,46
V-R10,V,LTE,308,47090,46
V-R7,V,LTE,76,5230,13
V-R9,V,LTE,382,66536,66
V-R11,V,LTE,382,2561,5
V-R9,V,LTE,209,66536,66
V-R9,V,LTE,275,66536,66
V-R9,V,LTE,45,66536,66
V-R9,V,LTE,88,66536,66
V-R10,V,LTE,449,55744,48
V-R10,V,LTE,449,56140,48
V-R10,V,LTE,449,55942,48
V-R7,V,LTE,88,2561,5
V-R10,V,LTE,447,47090,46
V-R10,V,LTE,447,47291,46
V-R9,V,LTE,224,66536,66
V-R10,V,LTE,224,56640,48
V-R10,V,LTE,224,56244,48
V-R10,V,LTE,224,56046,48
V-R11,V,LTE,224,5230,13
V-R10,V,LTE,45,5230,13
V-R10,V,LTE,449,47291,46
V-R10,V,LTE,449,47489,46
V-R10,V,LTE,449,47090,46
V-R9,V,LTE,209,2561,5
V-R9,V,LTE,275,925,2
V-R9,V,LTE,275,2561,5
V-R9,V,LTE,222,66536,66
V-R10,V,LTE,222,56442,48
V-R10,V,LTE,222,56640,48
V-R10,V,LTE,222,56244,48
V-R10,V,LTE,222,56046,48
V-R9,V,LTE,166,66536,66
V-R6,V,LTE,152,56140,48
V-R10,V,LTE,152,55942,48
V-R10,V,LTE,152,55744,48
V-R9,V,LTE,244,66536,66
V-R10,V,LTE,244,925,2
V-R9,V,LTE,244,2561,5
V-R9,V,LTE,243,66536,66
V-R9,V,LTE,243,925,2
V-R9,V,LTE,243,5230,13
V-R10,V,LTE,85,2561,5
V-R9,V,LTE,115,66536,66
