pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
76,675,8,174270,76,1025,76,9840,None,None,None,None,None,None,None,None,16,2274
76,675,811,174270,76,1025,76,9840,None,None,None,None,None,None,None,None,29,2185
258,675,811,174270,258,67086,258,66686,None,None,None,None,None,None,None,None,49,13183
258,67086,None,None,258,675,258,5330,258,66686,None,None,None,None,None,None,67,6496
258,67086,8,174270,258,9820,258,66686,None,None,None,None,None,None,None,None,5,699
258,67086,811,174270,258,9820,258,66686,None,None,None,None,None,None,None,None,83,24589
258,67086,207,174270,258,9820,258,66686,None,None,None,None,None,None,None,None,2,167
388,675,207,174270,388,66686,388,67086,None,None,None,None,None,None,None,None,78,4524
388,67086,None,None,388,675,388,5330,388,66686,None,None,None,None,None,None,63,2295
388,67086,207,174270,388,675,388,66686,None,None,None,None,None,None,None,None,28,9140
258,675,None,None,258,5330,258,66686,258,67086,None,None,None,None,None,None,143,8387
252,675,None,None,252,52941,None,None,None,None,None,None,None,None,None,None,6,2678
41,675,None,None,41,52740,41,52941,41,53139,None,None,None,None,None,None,13,6498
252,675,None,None,252,52740,None,None,None,None,None,None,None,None,None,None,2,620
41,675,811,174270,41,66686,None,None,None,None,None,None,None,None,None,None,1,151
388,67086,811,174270,388,675,388,66686,None,None,None,None,None,None,None,None,7,672
258,675,207,174270,258,67086,258,66686,None,None,None,None,None,None,None,None,7,264
388,67086,811,174270,None,None,388,66686,None,None,None,None,None,None,None,None,6,489
258,67086,811,174270,258,675,258,66686,None,None,None,None,None,None,None,None,16,10541
258,9820,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,44
258,9820,811,174270,258,67086,258,66686,None,None,None,None,None,None,None,None,5,3131
410,9820,811,174270,410,66686,410,67086,None,None,None,None,None,None,None,None,2,30
258,67086,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15,68
258,67086,207,174270,None,None,None,None,None,None,None,None,None,None,None,None,2,86
258,9820,811,174270,258,66686,258,67086,None,None,None,None,None,None,None,None,6,4547
258,9820,207,174270,None,None,None,None,None,None,None,None,None,None,None,None,3,805
258,9820,811,174270,None,None,None,None,None,None,None,None,None,None,None,None,4,1122
410,9820,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,15
258,67086,None,None,258,675,258,5330,None,None,None,None,None,None,None,None,1,1389
258,67086,811,174270,None,None,None,None,None,None,None,None,None,None,None,None,1,374
258,675,207,174270,258,66686,258,67086,None,None,None,None,None,None,None,None,1,64
252,675,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9,1304
252,675,207,174270,252,52941,252,53139,252,52740,None,None,None,None,None,None,2,837
252,675,811,174270,252,52941,None,None,252,52740,None,None,None,None,None,None,1,47
258,675,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41,1609
41,675,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21,2538
41,675,811,174270,41,52740,41,52941,41,53139,None,None,None,None,None,None,17,10597
258,675,811,174270,258,9820,None,None,None,None,None,None,None,None,None,None,306,48689
252,675,811,174270,252,52941,252,53139,252,52740,None,None,None,None,None,None,2,236
440,675,None,None,440,5330,440,66686,440,67086,None,None,None,None,None,None,5,44
372,675,None,None,372,67086,372,5330,372,66686,None,None,None,None,None,None,104,731
464,675,None,None,464,5330,464,66686,464,67086,None,None,None,None,None,None,36,380
76,675,None,None,76,5330,76,66686,76,67086,None,None,None,None,None,None,64,3118
258,66686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,13174
76,66686,None,None,76,675,76,5330,76,67086,None,None,None,None,None,None,34,2777
258,66686,None,None,258,675,258,5330,258,67086,None,None,None,None,None,None,89,6631
388,66686,None,None,388,675,388,5330,388,67086,None,None,None,None,None,None,53,3926
41,66686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16,2814
258,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,6024
258,9820,None,None,258,5330,258,66686,258,67086,None,None,None,None,None,None,4,44
403,9820,93,174270,403,66686,None,None,None,None,None,None,None,None,None,None,1,1369
403,9820,466,174270,403,66686,None,None,None,None,None,None,None,None,None,None,2,730
335,9820,466,174270,335,1025,335,675,None,None,None,None,None,None,None,None,7,1225
45,675,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47,1114
45,675,466,174270,45,52740,45,52941,45,53139,None,None,None,None,None,None,29,3679
45,675,93,174270,45,1025,None,None,None,None,None,None,None,None,None,None,7,377
