pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
389,66811,694,125290,None,None,None,None,None,None,None,None,None,None,None,None,3,366
175,66811,825,125290,None,None,None,None,None,None,None,None,None,None,None,None,11,3098
491,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24,5103
491,66811,825,125290,None,None,None,None,None,None,None,None,None,None,None,None,9,2392
90,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,35,3924
90,66811,825,125290,None,None,None,None,None,None,None,None,None,None,None,None,8,1201
90,66811,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,13,1150
448,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24,2851
448,66811,264,519630,None,None,None,None,None,None,None,None,None,None,None,None,7,594
464,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19,355
464,66811,168,519630,None,None,None,None,None,None,None,None,None,None,None,None,10,1085
40,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,260
40,66811,168,519630,None,None,None,None,None,None,None,None,None,None,None,None,5,312
386,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,40
386,66811,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,3,104
252,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36,1142
252,66811,168,519630,None,None,None,None,None,None,None,None,None,None,None,None,14,1715
54,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44,2505
54,66811,207,519630,None,None,None,None,None,None,None,None,None,None,None,None,9,412
54,66811,106,519630,None,None,None,None,None,None,None,None,None,None,None,None,9,158
58,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27,1010
58,66811,106,519630,None,None,None,None,None,None,None,None,None,None,None,None,10,438
196,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19,7103
196,66811,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,5,1208
196,66811,264,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,8
315,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41,7376
315,66811,264,519630,None,None,None,None,None,None,None,None,None,None,None,None,12,4639
315,66811,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,5,599
175,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27,13408
175,66811,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,11,2021
114,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36,14797
114,66811,276,519630,None,None,None,None,None,None,None,None,None,None,None,None,16,8823
389,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,33
236,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,19
236,66811,115,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,131
236,66811,440,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,32
253,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,2103
253,66811,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,4,952
253,66811,694,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,27
93,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9,698
93,66811,106,519630,None,None,None,None,None,None,None,None,None,None,None,None,6,792
93,66811,207,519630,None,None,None,None,None,None,None,None,None,None,None,None,4,984
410,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25,2705
410,66811,207,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,66
