Region,Operator,Type,Freq,Band
A-R3,A,MW,2256663,
A-R3,A,MW,2258329,
A-R3,A,MW,2259995,
A-R3,A,MW,2261661,
A-R3,A,MW,2268325,
A-R3,A,MW,2263327,
A-R3,A,MW,2264993,
A-R3,A,MW,2266659,
A-R3,A,Sub6,174270,
A-R3,A,Sub6,174300,
A-R3,A,LTE,67086,
A-R3,A,LTE,1025,
A-R3,A,LTE,66686,
A-R3,A,LTE,675,
A-R3,A,LTE,9820,
A-R3,A,LTE,5330,
A-R3,A,LTE,9840,
A-R3,A,LTE,5110,
A-R3,A,LTE,52941,
A-R3,A,LTE,53139,
A-R3,A,LTE,52740,
A-R3,A,LTE,53140,
A-R3,A,LTE,53341,
A-R3,A,LTE,53539,
A-R3,A,LTE,52940,
A-R3,A,LTE,53141,
A-R3,A,LTE,53339,
