Region,Operator,Type,Freq,Band
V-R9,V,MW,2071667,
V-R9,V,Sub6,176930,
V-R9,V,LTE,66536,
V-R9,V,LTE,2561,
V-R9,V,LTE,925,
V-R9,V,LTE,5230,
V-R9,V,LTE,55942,
V-R9,V,LTE,47090,
V-R9,V,LTE,47291,
V-R9,V,LTE,56140,
V-R9,V,LTE,55744,
V-R9,V,LTE,2050,
V-R9,V,LTE,47489,
V-R9,V,LTE,53140,
V-R9,V,LTE,53341,
V-R9,V,LTE,53539,
V-R9,V,LTE,47689,
V-R9,V,LTE,47491,
V-R9,V,LTE,47290,
V-R9,V,LTE,56442,
V-R9,V,LTE,56293,
V-R9,V,LTE,56640,
V-R9,V,LTE,55340,
V-R9,V,LTE,56242,
V-R9,V,LTE,56044,
V-R9,V,LTE,56440,
V-R9,V,LTE,52740,
V-R9,V,LTE,52941,
V-R9,V,LTE,53139,
V-R9,V,LTE,56240,
V-R9,V,LTE,56042,
