grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_conf_interval_90,thput_conf_interval_90_ratio,thput_sample_needed,total_rtt_sample,rtt_sample,rtt_sample_ratio,rtt_avg,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100,rtt_conf_interval_90,rtt_conf_interval_90_ratio,rtt_sample_needed
-86.1675,39.7565,168,850,327,2259995,None,None,None,None,None,None,327,2261661,327,2263327,327,2264993,LTE+MW,3,2,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.1675,39.7565,224,9820,None,None,428,5330,244,66486,73,66661,None,None,None,None,None,None,LTE,3,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.1675,39.7605,169,66936,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.752,224,9820,None,None,428,5330,244,66486,73,66661,None,None,None,None,None,None,LTE,27,27,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7525,59,850,None,None,428,5330,244,66486,73,66661,None,None,None,None,None,None,LTE,63,3,0.047619047619047616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7525,162,850,None,None,46,53139,None,None,None,None,None,None,None,None,None,None,LTE,63,28,0.4444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7525,224,9820,None,None,428,5330,244,66486,73,66661,None,None,None,None,None,None,LTE,63,32,0.5079365079365079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.753,162,850,None,None,46,53139,None,None,None,None,None,None,None,None,None,None,LTE,44,10,0.22727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.753,224,9820,None,None,428,5330,244,66486,73,66661,None,None,None,None,None,None,LTE,44,34,0.7727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7535,162,850,None,None,46,53139,None,None,None,None,None,None,None,None,None,None,LTE,59,12,0.2033898305084746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7535,224,9820,None,None,428,5330,244,66486,73,66661,None,None,None,None,None,None,LTE,59,47,0.7966101694915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.754,224,9820,None,None,428,5330,244,66486,73,66661,None,None,None,None,None,None,LTE,50,12,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.754,274,5110,None,None,217,850,None,None,None,None,None,None,None,None,None,None,LTE,50,38,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7545,168,850,327,2259995,None,None,None,None,None,None,327,2261661,327,2263327,327,2264993,LTE+MW,22,8,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7545,274,5110,None,None,217,850,None,None,None,None,None,None,None,None,None,None,LTE,22,14,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,52,850,220,174270,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,1335,36,0.02696629213483146,402,36,0.08955223880597014,46.024742222222216,24.803970777259646,0.0,17.27328,30.37332,37.5712,71.07248,77.26632,83.4296,6.8004219880986865,0.14775578655637153,78.59438085921127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,52,850,None,None,274,5110,None,None,None,None,None,None,None,None,None,None,LTE,1335,22,0.01647940074906367,402,22,0.05472636815920398,40.93251636363636,5.588626923469863,33.8448,35.829407999999994,36.7376,39.3296,44.0158,48.943152000000005,53.863519999999994,1.9600162885036025,0.047884089780633236,5.044349319063437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.755,52,850,None,None,76,5330,226,66486,169,66936,None,None,None,None,None,None,LTE,1335,192,0.14382022471910114,402,75,0.1865671641791045,71.34576853333333,45.52338153168281,0.0,1.7770880000000004,18.0528,86.84751999999999,106.51535999999999,124.30937599999999,137.08944,8.647086135392167,0.12119970550674182,110.17026461190709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
