grid_lat,grid_lon,thput_sample_num,mw_thput_sample_num,mw_thput_0,mw_thput_10,mw_thput_25,mw_thput_50,mw_thput_75,mw_thput_90,mw_thput_100,sub6_thput_sample_num,sub6_thput_0,sub6_thput_10,sub6_thput_25,sub6_thput_50,sub6_thput_75,sub6_thput_90,sub6_thput_100,lte_thput_sample_num,lte_thput_0,lte_thput_10,lte_thput_25,lte_thput_50,lte_thput_75,lte_thput_90,lte_thput_100,5g_thput_sample_num,5g_thput_0,5g_thput_10,5g_thput_25,5g_thput_50,5g_thput_75,5g_thput_90,5g_thput_100,all_thput_sample_num,all_thput_0,all_thput_10,all_thput_25,all_thput_50,all_thput_75,all_thput_90,all_thput_100,mw_thput_avg,mw_thput_std,sub6_thput_avg,sub6_thput_std,lte_thput_avg,lte_thput_std,5g_thput_avg,5g_thput_std,all_thput_avg,all_thput_std
-87.632,41.889,55,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,55,0.0,48.816704,66.0988,79.27088,90.85512,105.42192,112.85871999999999,0,None,None,None,None,None,None,None,55,0.0,48.816704,66.0988,79.27088,90.85512,105.42192,112.85871999999999,None,None,None,None,76.1604989090909,23.888952605471513,None,None,76.1604989090909,23.888952605471513
-87.632,41.8895,673,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,673,0.0,12.939072,71.312,85.57199999999999,97.47712,105.92227199999999,143.34832,0,None,None,None,None,None,None,None,673,0.0,12.939072,71.312,85.57199999999999,97.47712,105.92227199999999,143.34832,None,None,None,None,78.35632665676076,30.653795119099385,None,None,78.35632665676076,30.653795119099385
-87.632,41.89,82,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,82,0.0,89.32660800000001,100.70815999999999,124.86344,154.5664,174.166944,193.67072,0,None,None,None,None,None,None,None,82,0.0,89.32660800000001,100.70815999999999,124.86344,154.5664,174.166944,193.67072,None,None,None,None,126.92509268292682,38.149149985575384,None,None,126.92509268292682,38.149149985575384
-87.632,41.891,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8915,2539,0,None,None,None,None,None,None,None,106,0.0,26.616239999999998,62.678439999999995,88.99264,101.1666,117.8124,141.73984,2433,0.0,3.4260800000000016,7.5112,13.881920000000001,29.82864,79.08707199999999,150.36704,106,0.0,26.616239999999998,62.678439999999995,88.99264,101.1666,117.8124,141.73984,2539,0.0,3.503392,7.6296,14.377279999999999,36.09712,84.76400000000002,150.36704,None,None,80.48491471698112,34.14161559427221,25.895652774352648,29.547250982083217,80.48491471698112,34.14161559427221,28.17468458448208,31.693418982305275
-87.632,41.892,1706,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,1706,0.0,0.6886399999999999,2.2877599999999996,9.18112,24.49496,54.450239999999994,128.9424,0,None,None,None,None,None,None,None,1706,0.0,0.6886399999999999,2.2877599999999996,9.18112,24.49496,54.450239999999994,128.9424,None,None,None,None,18.310857631887455,22.655823396033757,None,None,18.310857631887455,22.655823396033757
-87.632,41.893,2005,0,None,None,None,None,None,None,None,981,0.0,46.2192,67.61824,82.13936,97.83823999999998,110.51088,146.56832,1024,0.0,12.259456,25.34096,52.71496,75.94855999999999,99.43808000000001,144.7224,981,0.0,46.2192,67.61824,82.13936,97.83823999999998,110.51088,146.56832,2005,0.0,15.881888,42.377599999999994,70.60079999999999,90.19119999999998,107.36918399999999,146.56832,None,None,79.45938780835881,27.492643351955934,53.395746640625,33.04863266690038,79.45938780835881,27.492643351955934,66.14808179551122,33.12681602519764
-87.632,41.8935,2330,0,None,None,None,None,None,None,None,53,0.0,54.195359999999994,61.800959999999996,79.65616,94.25312,104.42464,139.6968,2277,0.0,0.74976,40.06192,70.03215999999999,87.12816,101.97200000000001,159.62016,53,0.0,54.195359999999994,61.800959999999996,79.65616,94.25312,104.42464,139.6968,2330,0.0,0.74976,42.0424,70.24992,87.25263999999999,102.23134399999998,159.62016,None,None,79.79638188679245,24.345781432763633,62.87150967061922,34.36422106309014,79.79638188679245,24.345781432763633,63.25649603433475,34.26204983021329
-87.632,41.894,479,0,None,None,None,None,None,None,None,138,0.0,35.207040000000006,53.61347999999999,74.8956,94.96784,122.685904,136.10464,341,0.0,9.856,12.78624,36.10192,68.50847999999999,96.84639999999999,140.89183999999997,138,0.0,35.207040000000006,53.61347999999999,74.8956,94.96784,122.685904,136.10464,479,0.0,10.197408,15.60736,49.05088,82.0432,104.34457599999999,140.89183999999997,None,None,74.62285565217391,32.843175635936845,43.57797607038123,35.71210341962592,74.62285565217391,32.843175635936845,52.52201235908142,37.634578306400535
-87.632,41.8945,2136,0,None,None,None,None,None,None,None,1436,0.0,16.563519999999997,32.57356,49.247519999999994,66.51248,90.01064,164.34096,700,0.0,14.74128,26.62276,36.9184,49.97579999999999,74.65687199999999,157.68576,1436,0.0,16.563519999999997,32.57356,49.247519999999994,66.51248,90.01064,164.34096,2136,0.0,15.30712,29.817679999999996,44.584559999999996,62.38944,85.19176,164.34096,None,None,51.888550027855146,29.099794645918138,40.742588,24.363930853833864,51.888550027855146,29.099794645918138,48.235847116104864,28.12813855403868
