grid_lat,grid_lon,freq,cid,rat,total_sample,sample,sample_ratio,rsrp_avg,rsrp_std,rsrp_0,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90,rsrp_100,rsrq_avg,rsrq_std,rsrq_0,rsrq_10,rsrq_25,rsrq_50,rsrq_75,rsrq_90,rsrq_100
39.7665,-86.1665,66736,90,lte,15,3,0.2,-96.33333333333333,4.041451884327381,-100.0,-99.4,-98.5,-97.0,-94.5,-93.0,-92.0,-21.333333333333332,3.0550504633038935,-24.0,-23.6,-23.0,-22.0,-20.0,-18.799999999999997,-18.0
39.7665,-86.1665,66736,92,lte,15,3,0.2,-93.66666666666667,2.516611478423583,-96.0,-95.60000000000001,-95.0,-94.0,-92.5,-91.6,-91.0,-18.333333333333332,1.5275252316519468,-20.0,-19.6,-19.0,-18.0,-17.5,-17.2,-17.0
39.7665,-86.1665,66736,93,lte,15,3,0.2,-101.66666666666667,3.055050463303893,-105.0,-104.2,-103.0,-101.0,-100.0,-99.4,-99.0,-26.666666666666668,2.081665999466133,-29.0,-28.400000000000002,-27.5,-26.0,-25.5,-25.2,-25.0
39.7665,-86.1665,66736,95,lte,15,3,0.2,-80.66666666666667,1.5275252316519468,-82.0,-81.80000000000001,-81.5,-81.0,-80.0,-79.4,-79.0,-10.333333333333334,1.5275252316519468,-12.0,-11.600000000000001,-11.0,-10.0,-9.5,-9.2,-9.0
39.7665,-86.1665,66736,144,lte,15,3,0.2,-101.0,1.0,-102.0,-101.80000000000001,-101.5,-101.0,-100.5,-100.19999999999999,-100.0,-25.666666666666668,1.5275252316519468,-27.0,-26.8,-26.5,-26.0,-25.0,-24.400000000000002,-24.0
39.7665,-86.1615,677,45,lte,1531,5,0.0032658393207054214,-87.0,0.7071067811865476,-88.0,-87.6,-87.0,-87.0,-87.0,-86.4,-86.0,-20.8,0.4472135954999579,-21.0,-21.0,-21.0,-21.0,-21.0,-20.4,-20.0
39.7665,-86.1615,677,46,lte,1531,216,0.1410842586544742,-78.11737089201878,4.405220813271116,-90.0,-85.0,-80.0,-77.0,-75.0,-74.0,-69.0,-10.624413145539906,2.030374363244552,-15.0,-13.0,-12.0,-10.0,-9.0,-8.0,-6.0
39.7665,-86.1615,677,47,lte,1531,31,0.020248203788373612,-92.06451612903226,5.335013176309674,-102.0,-99.0,-96.5,-91.0,-88.0,-86.0,-85.0,-19.64516129032258,1.379574501957619,-22.0,-21.0,-21.0,-19.0,-19.0,-19.0,-16.0
39.7665,-86.1615,677,130,lte,1531,8,0.005225342913128674,-87.75,2.815771906346718,-92.0,-90.6,-89.25,-88.0,-86.5,-84.4,-83.0,-19.875,2.5319388392523003,-24.0,-23.3,-20.75,-19.0,-19.0,-18.1,-16.0
39.7665,-86.1615,677,139,lte,1531,6,0.003919007184846506,-86.66666666666667,1.632993161855452,-89.0,-88.5,-87.75,-86.5,-85.25,-85.0,-85.0,-15.0,0.8944271909999159,-16.0,-16.0,-15.75,-15.0,-14.25,-14.0,-14.0
39.7665,-86.1615,677,310,lte,1531,1,0.0006531678641410843,-93.0,nan,-93.0,-93.0,-93.0,-93.0,-93.0,-93.0,-93.0,-21.0,nan,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0
