grid_lat,grid_lon,thput_sample_num,mw_thput_sample_num,mw_thput_0,mw_thput_10,mw_thput_25,mw_thput_50,mw_thput_75,mw_thput_90,mw_thput_100,sub6_thput_sample_num,sub6_thput_0,sub6_thput_10,sub6_thput_25,sub6_thput_50,sub6_thput_75,sub6_thput_90,sub6_thput_100,lte_thput_sample_num,lte_thput_0,lte_thput_10,lte_thput_25,lte_thput_50,lte_thput_75,lte_thput_90,lte_thput_100,5g_thput_sample_num,5g_thput_0,5g_thput_10,5g_thput_25,5g_thput_50,5g_thput_75,5g_thput_90,5g_thput_100,all_thput_sample_num,all_thput_0,all_thput_10,all_thput_25,all_thput_50,all_thput_75,all_thput_90,all_thput_100,mw_thput_avg,mw_thput_std,sub6_thput_avg,sub6_thput_std,lte_thput_avg,lte_thput_std,5g_thput_avg,5g_thput_std,all_thput_avg,all_thput_std
-87.632,41.8895,51,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,8,0.11615999999999999,0.278784,0.43559999999999993,0.69696,1.04544,1.5333119999999998,1.8585599999999998,0,None,None,None,None,None,None,None,8,0.11615999999999999,0.278784,0.43559999999999993,0.69696,1.04544,1.5333119999999998,1.8585599999999998,None,None,None,None,0.81312,0.5386117622183905,None,None,0.81312,0.5386117622183905
-87.632,41.8915,1378,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,1300,1.04544,7.66656,12.283919999999998,18.0048,25.35192,34.394976000000014,62.733439999999995,0,None,None,None,None,None,None,None,1300,1.04544,7.66656,12.283919999999998,18.0048,25.35192,34.394976000000014,62.733439999999995,None,None,None,None,19.689057723076925,10.30531964350271,None,None,19.689057723076925,10.30531964350271
-87.632,41.892,678,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,646,0.5808,1.7424,2.55552,6.6792,12.54528,17.772479999999998,41.93375999999999,0,None,None,None,None,None,None,None,646,0.5808,1.7424,2.55552,6.6792,12.54528,17.772479999999998,41.93375999999999,None,None,None,None,8.525173003095974,7.166997647533911,None,None,8.525173003095974,7.166997647533911
-87.632,41.893,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8935,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.894,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8945,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8955,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8965,52,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,50,1.5100799999999999,2.648448,3.39768,4.76256,6.35976,7.7943359999999995,11.26752,0,None,None,None,None,None,None,None,50,1.5100799999999999,2.648448,3.39768,4.76256,6.35976,7.7943359999999995,11.26752,None,None,None,None,4.9809408,2.154276690511077,None,None,4.9809408,2.154276690511077
-87.632,41.899,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.6315,41.8895,80,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,66,0.23231999999999997,2.3232,4.559279999999999,8.4216,19.572960000000002,22.59312,29.38848,0,None,None,None,None,None,None,None,66,0.23231999999999997,2.3232,4.559279999999999,8.4216,19.572960000000002,22.59312,29.38848,None,None,None,None,11.028159999999998,8.108360303785222,None,None,11.028159999999998,8.108360303785222
