grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_sample,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-87.684,41.8835,1,0,0.0,1,1.0,1,1.0,0,0.0,1,0,0.0,1,1.0,1,1.0,0,0.0
-87.6835,41.8775,474,0,0.0,99,0.2088607594936709,99,0.2088607594936709,375,0.7911392405063291,5,0,0.0,1,0.2,1,0.2,4,0.8
-87.6835,41.878,317,34,0.10725552050473186,76,0.23974763406940064,110,0.3470031545741325,207,0.6529968454258676,6,1,0.16666666666666666,1,0.16666666666666666,2,0.3333333333333333,4,0.6666666666666666
-87.6835,41.8785,738,237,0.32113821138211385,251,0.34010840108401086,488,0.6612466124661247,250,0.33875338753387535,8,3,0.375,2,0.25,5,0.625,3,0.375
-87.6835,41.879,5959,145,0.024332941768753145,5394,0.9051854337976171,5539,0.9295183755663702,420,0.0704816244336298,113,3,0.02654867256637168,56,0.49557522123893805,59,0.5221238938053098,54,0.4778761061946903
-87.6835,41.8795,578,166,0.28719723183391005,325,0.5622837370242214,491,0.8494809688581315,87,0.15051903114186851,8,3,0.375,3,0.375,6,0.75,2,0.25
-87.6835,41.88,400,121,0.3025,201,0.5025,322,0.8049999999999999,78,0.195,12,2,0.16666666666666666,6,0.5,8,0.6666666666666666,4,0.3333333333333333
-87.6835,41.8805,945,108,0.11428571428571428,784,0.8296296296296296,892,0.9439153439153439,53,0.056084656084656084,7,3,0.42857142857142855,3,0.42857142857142855,6,0.8571428571428571,1,0.14285714285714285
-87.6835,41.881,1664,915,0.5498798076923077,288,0.17307692307692307,1203,0.7229567307692308,461,0.2770432692307692,15,4,0.26666666666666666,6,0.4,10,0.6666666666666666,5,0.3333333333333333
-87.6835,41.8815,326,103,0.3159509202453988,181,0.5552147239263804,284,0.8711656441717792,42,0.12883435582822086,5,2,0.4,2,0.4,4,0.8,1,0.2
-87.6835,41.882,408,0,0.0,340,0.8333333333333334,340,0.8333333333333334,68,0.16666666666666666,8,0,0.0,5,0.625,5,0.625,3,0.375
-87.6835,41.8825,143,0,0.0,80,0.5594405594405595,80,0.5594405594405595,63,0.4405594405594406,4,0,0.0,2,0.5,2,0.5,2,0.5
-87.6835,41.883,252,0,0.0,67,0.26587301587301587,67,0.26587301587301587,185,0.7341269841269841,7,0,0.0,2,0.2857142857142857,2,0.2857142857142857,5,0.7142857142857143
-87.6835,41.8835,49,0,0.0,49,1.0,49,1.0,0,0.0,1,0,0.0,1,1.0,1,1.0,0,0.0
-87.683,41.8775,202,0,0.0,50,0.24752475247524752,50,0.24752475247524752,152,0.7524752475247525,5,0,0.0,1,0.2,1,0.2,4,0.8
-87.683,41.8785,75,37,0.49333333333333335,38,0.5066666666666667,75,1.0,0,0.0,2,1,0.5,1,0.5,2,1.0,0,0.0
-87.683,41.881,205,0,0.0,104,0.5073170731707317,104,0.5073170731707317,101,0.4926829268292683,5,0,0.0,2,0.4,2,0.4,3,0.6
-87.683,41.882,70,0,0.0,70,1.0,70,1.0,0,0.0,2,0,0.0,2,1.0,2,1.0,0,0.0
-87.683,41.8825,103,0,0.0,8,0.07766990291262135,8,0.07766990291262135,95,0.9223300970873787,3,0,0.0,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666
-87.683,41.883,153,0,0.0,74,0.48366013071895425,74,0.48366013071895425,79,0.5163398692810458,6,0,0.0,3,0.5,3,0.5,3,0.5
-87.6825,41.8775,189,0,0.0,52,0.2751322751322751,52,0.2751322751322751,137,0.7248677248677249,13,0,0.0,4,0.3076923076923077,4,0.3076923076923077,9,0.6923076923076923
-87.6825,41.8785,86,44,0.5116279069767442,42,0.4883720930232558,86,1.0,0,0.0,2,1,0.5,1,0.5,2,1.0,0,0.0
-87.6825,41.881,158,0,0.0,76,0.4810126582278481,76,0.4810126582278481,82,0.5189873417721519,5,0,0.0,2,0.4,2,0.4,3,0.6
-87.6825,41.882,69,0,0.0,69,1.0,69,1.0,0,0.0,2,0,0.0,2,1.0,2,1.0,0,0.0
-87.6825,41.8825,35,0,0.0,0,0.0,0,0.0,35,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-87.6825,41.883,199,0,0.0,117,0.5879396984924623,117,0.5879396984924623,82,0.4120603015075377,6,0,0.0,3,0.5,3,0.5,3,0.5
-87.682,41.8775,203,0,0.0,78,0.3842364532019704,78,0.3842364532019704,125,0.6157635467980296,7,0,0.0,3,0.42857142857142855,3,0.42857142857142855,4,0.5714285714285714
-87.682,41.8785,83,41,0.4939759036144578,42,0.5060240963855421,83,1.0,0,0.0,2,1,0.5,1,0.5,2,1.0,0,0.0
-87.682,41.881,162,0,0.0,78,0.48148148148148145,78,0.48148148148148145,84,0.5185185185185185,5,0,0.0,2,0.4,2,0.4,3,0.6
-87.682,41.882,69,0,0.0,69,1.0,69,1.0,0,0.0,2,0,0.0,2,1.0,2,1.0,0,0.0
-87.682,41.883,209,0,0.0,152,0.7272727272727273,152,0.7272727272727273,57,0.2727272727272727,9,0,0.0,6,0.6666666666666666,6,0.6666666666666666,3,0.3333333333333333
-87.6815,41.8775,993,0,0.0,350,0.35246727089627394,350,0.35246727089627394,643,0.6475327291037261,17,0,0.0,7,0.4117647058823529,7,0.4117647058823529,10,0.5882352941176471
-87.6815,41.878,104,0,0.0,35,0.33653846153846156,35,0.33653846153846156,69,0.6634615384615384,3,0,0.0,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666
-87.6815,41.8785,774,42,0.05426356589147287,484,0.6253229974160207,526,0.6795865633074936,248,0.32041343669250644,37,1,0.02702702702702703,21,0.5675675675675675,22,0.5945945945945946,15,0.40540540540540543
-87.6815,41.879,291,0,0.0,152,0.5223367697594502,152,0.5223367697594502,139,0.47766323024054985,18,0,0.0,9,0.5,9,0.5,9,0.5
-87.6815,41.8795,466,0,0.0,292,0.6266094420600858,292,0.6266094420600858,174,0.37339055793991416,19,0,0.0,12,0.631578947368421,12,0.631578947368421,7,0.3684210526315789
-87.6815,41.88,789,0,0.0,444,0.5627376425855514,444,0.5627376425855514,345,0.4372623574144487,34,0,0.0,22,0.6470588235294118,22,0.6470588235294118,12,0.35294117647058826
-87.6815,41.8805,854,0,0.0,502,0.5878220140515222,502,0.5878220140515222,352,0.41217798594847777,41,0,0.0,25,0.6097560975609756,25,0.6097560975609756,16,0.3902439024390244
-87.6815,41.881,3418,0,0.0,1495,0.43739028671737856,1495,0.43739028671737856,1923,0.5626097132826214,99,0,0.0,51,0.5151515151515151,51,0.5151515151515151,48,0.48484848484848486
-87.6815,41.8815,1423,0,0.0,216,0.151791988756149,216,0.151791988756149,1207,0.848208011243851,22,0,0.0,9,0.4090909090909091,9,0.4090909090909091,13,0.5909090909090909
-87.6815,41.882,4800,0,0.0,595,0.12395833333333334,595,0.12395833333333334,4205,0.8760416666666667,49,0,0.0,20,0.40816326530612246,20,0.40816326530612246,29,0.5918367346938775
-87.6815,41.8825,4454,0,0.0,747,0.16771441400987877,747,0.16771441400987877,3707,0.8322855859901213,50,0,0.0,20,0.4,20,0.4,30,0.6
-87.6815,41.883,863,0,0.0,589,0.6825028968713789,589,0.6825028968713789,274,0.3174971031286211,38,0,0.0,21,0.5526315789473685,21,0.5526315789473685,17,0.4473684210526316
