grid_lat,grid_lon,cell_num,nr_cell_num,lte_cell_num
39.7665,-86.1615,37,11,26
39.7665,-86.1605,11,2,9
39.7665,-86.16,57,5,52
39.7665,-86.1595,40,7,33
39.7665,-86.158,11,3,8
39.7665,-86.1575,16,6,10
39.7665,-86.157,6,1,5
39.7665,-86.1565,7,1,6
39.7665,-86.156,43,12,31
39.7665,-86.1555,27,7,20
39.7665,-86.155,26,9,17
39.7665,-86.1545,57,14,43
39.7665,-86.154,33,9,24
39.7665,-86.1535,43,11,32
39.7665,-86.153,45,12,33
39.7665,-86.1525,43,12,31
39.7665,-86.152,12,4,8
39.7665,-86.1515,20,4,16
39.7665,-86.151,28,8,20
39.7665,-86.1505,34,11,23
39.767,-86.1665,25,3,22
39.767,-86.166,22,5,17
39.767,-86.1655,25,5,20
39.767,-86.165,24,7,17
39.767,-86.1645,22,8,14
39.767,-86.164,24,8,16
39.767,-86.1635,15,6,9
39.767,-86.163,35,13,22
39.767,-86.1625,21,8,13
39.767,-86.162,32,13,19
39.767,-86.1615,65,20,45
39.767,-86.161,52,14,38
39.767,-86.1605,45,12,33
39.767,-86.16,45,14,31
39.767,-86.1595,65,20,45
39.767,-86.159,37,12,25
39.767,-86.1585,31,10,21
39.767,-86.158,50,12,38
39.767,-86.1575,80,15,65
39.767,-86.157,35,11,24
39.767,-86.1565,35,10,25
39.767,-86.156,52,13,39
39.767,-86.1555,23,6,17
39.767,-86.155,14,3,11
39.767,-86.1545,48,10,38
39.767,-86.154,101,10,91
39.767,-86.1535,40,6,34
39.767,-86.153,40,7,33
39.767,-86.1525,60,11,49
39.767,-86.1505,19,6,13
39.7675,-86.1665,14,3,11
39.7675,-86.1615,27,11,16
39.7675,-86.161,6,3,3
39.7675,-86.1595,13,7,6
39.7675,-86.158,29,5,24
39.7675,-86.156,35,5,30
39.7675,-86.1545,34,5,29
39.7675,-86.154,56,11,45
39.7675,-86.1525,57,14,43
39.7675,-86.1505,12,4,8
39.768,-86.1665,12,2,10
39.768,-86.1615,76,12,64
39.768,-86.1595,26,10,16
39.768,-86.1585,23,10,13
39.768,-86.158,14,6,8
39.768,-86.157,13,3,10
39.768,-86.156,91,5,86
39.768,-86.1555,11,2,9
39.768,-86.1545,21,3,18
39.768,-86.154,61,12,49
39.768,-86.1525,55,19,36
39.768,-86.152,9,6,3
39.768,-86.1515,8,4,4
39.768,-86.151,9,4,5
39.768,-86.1505,17,6,11
39.7685,-86.1665,9,2,7
39.7685,-86.1615,26,11,15
39.7685,-86.1595,26,12,14
39.7685,-86.1585,23,8,15
39.7685,-86.158,12,5,7
39.7685,-86.156,61,7,54
39.7685,-86.1545,9,3,6
39.7685,-86.154,67,16,51
39.7685,-86.1525,44,13,31
39.7685,-86.151,3,2,1
39.7685,-86.1505,14,3,11
39.769,-86.1665,12,3,9
39.769,-86.1615,21,7,14
39.769,-86.1595,15,6,9
39.769,-86.1585,7,2,5
39.769,-86.158,19,10,9
39.769,-86.156,44,10,34
39.769,-86.1545,3,3,0
39.769,-86.154,68,12,56
39.769,-86.1525,50,13,37
39.769,-86.1515,3,2,1
39.769,-86.151,3,2,1
39.769,-86.1505,18,5,13
39.7695,-86.1665,19,4,15
39.7695,-86.165,3,2,1
39.7695,-86.1645,4,3,1
39.7695,-86.164,14,8,6
39.7695,-86.1635,12,8,4
39.7695,-86.163,16,9,7
39.7695,-86.1625,31,12,19
39.7695,-86.162,36,12,24
39.7695,-86.1615,34,14,20
39.7695,-86.161,31,12,19
39.7695,-86.1605,31,10,21
39.7695,-86.16,60,26,34
39.7695,-86.1595,44,18,26
39.7695,-86.159,44,13,31
39.7695,-86.1585,34,10,24
39.7695,-86.158,38,12,26
39.7695,-86.1575,13,6,7
39.7695,-86.157,22,9,13
39.7695,-86.1565,31,10,21
39.7695,-86.156,63,14,49
39.7695,-86.1555,54,18,36
39.7695,-86.155,45,11,34
39.7695,-86.1545,69,20,49
39.7695,-86.154,97,19,78
39.7695,-86.1535,24,10,14
39.7695,-86.153,24,9,15
39.7695,-86.1525,71,14,57
39.7695,-86.152,38,11,27
39.7695,-86.1515,36,9,27
39.7695,-86.151,42,12,30
39.7695,-86.1505,32,11,21
39.77,-86.1665,30,12,18
39.77,-86.166,18,10,8
39.77,-86.1655,19,11,8
39.77,-86.165,14,8,6
39.77,-86.1645,14,8,6
39.77,-86.164,16,6,10
39.77,-86.1635,30,11,19
39.77,-86.163,62,16,46
39.77,-86.1625,38,13,25
39.77,-86.162,41,16,25
39.77,-86.1615,52,16,36
39.77,-86.161,25,10,15
39.77,-86.1605,25,10,15
39.77,-86.16,33,16,17
39.77,-86.1595,31,17,14
39.77,-86.159,20,12,8
39.77,-86.1585,6,4,2
39.77,-86.158,37,15,22
39.77,-86.1575,15,4,11
39.77,-86.156,18,5,13
39.77,-86.1555,14,8,6
39.77,-86.155,19,9,10
39.77,-86.1545,8,4,4
39.77,-86.154,55,8,47
39.77,-86.153,5,2,3
39.77,-86.1525,65,13,52
39.77,-86.1515,4,3,1
39.77,-86.1505,17,4,13
39.7705,-86.1665,15,5,10
39.7705,-86.1635,8,3,5
39.7705,-86.163,45,12,33
39.7705,-86.1615,36,13,23
39.7705,-86.16,7,3,4
39.7705,-86.1595,17,6,11
39.7705,-86.1585,3,3,0
39.7705,-86.158,20,7,13
39.7705,-86.1575,20,11,9
39.7705,-86.156,18,6,12
39.7705,-86.154,61,10,51
39.7705,-86.1525,53,6,47
39.7705,-86.152,4,2,2
39.7705,-86.1515,3,3,0
39.7705,-86.1505,27,8,19
39.771,-86.1665,30,13,17
39.771,-86.166,17,6,11
39.771,-86.1655,35,9,26
39.771,-86.165,24,5,19
39.771,-86.1645,25,9,16
39.771,-86.164,28,7,21
39.771,-86.1635,33,9,24
39.771,-86.163,62,19,43
39.771,-86.1625,38,9,29
39.771,-86.162,39,8,31
39.771,-86.1615,61,14,47
39.771,-86.161,36,11,25
39.771,-86.1605,53,17,36
39.771,-86.16,61,16,45
39.771,-86.1595,63,18,45
39.771,-86.159,49,15,34
39.771,-86.1585,42,14,28
39.771,-86.158,47,14,33
39.771,-86.1575,47,18,29
39.771,-86.157,30,9,21
39.771,-86.1565,38,13,25
39.771,-86.156,50,13,37
39.771,-86.1555,52,15,37
39.771,-86.155,45,15,30
39.771,-86.1545,58,16,42
39.771,-86.154,58,16,42
39.771,-86.1535,39,12,27
39.771,-86.153,36,9,27
39.771,-86.1525,82,12,70
39.771,-86.152,43,7,36
39.771,-86.1515,36,7,29
39.771,-86.151,37,8,29
39.771,-86.1505,44,9,35
39.7715,-86.1665,60,10,50
39.7715,-86.166,23,6,17
39.7715,-86.1655,17,4,13
39.7715,-86.163,43,14,29
39.7715,-86.1615,34,11,23
39.7715,-86.161,18,3,15
39.7715,-86.1605,6,3,3
39.7715,-86.16,3,3,0
39.7715,-86.1595,18,7,11
39.7715,-86.158,5,3,2
39.7715,-86.1575,36,12,24
39.7715,-86.156,52,14,38
39.7715,-86.1555,15,7,8
39.7715,-86.155,15,6,9
39.7715,-86.1545,19,5,14
39.7715,-86.154,50,10,40
39.7715,-86.1525,35,6,29
39.7715,-86.152,34,4,30
39.7715,-86.151,4,3,1
39.7715,-86.1505,31,8,23
39.772,-86.1665,30,7,23
39.772,-86.163,34,12,22
39.772,-86.162,7,3,4
39.772,-86.1615,50,11,39
39.772,-86.161,20,5,15
39.772,-86.1595,16,5,11
39.772,-86.1575,41,18,23
39.772,-86.156,38,9,29
39.772,-86.1555,12,7,5
39.772,-86.154,54,11,43
39.772,-86.1535,5,2,3
39.772,-86.1525,26,4,22
39.772,-86.152,42,6,36
39.772,-86.1505,31,9,22
39.7725,-86.1665,31,8,23
39.7725,-86.1635,7,5,2
39.7725,-86.163,45,15,30
39.7725,-86.1625,22,6,16
39.7725,-86.162,18,4,14
39.7725,-86.1615,83,11,72
39.7725,-86.161,39,10,29
39.7725,-86.1605,23,3,20
39.7725,-86.16,25,6,19
39.7725,-86.1595,35,11,24
39.7725,-86.159,35,6,29
39.7725,-86.1585,29,7,22
39.7725,-86.158,43,12,31
39.7725,-86.1575,48,14,34
39.7725,-86.156,38,9,29
39.7725,-86.1555,18,7,11
39.7725,-86.154,37,10,27
39.7725,-86.1535,23,4,19
39.7725,-86.153,27,5,22
39.7725,-86.1525,38,4,34
39.7725,-86.152,44,8,36
39.7725,-86.1515,8,4,4
39.7725,-86.151,8,4,4
39.7725,-86.1505,31,7,24
39.773,-86.1665,37,6,31
39.773,-86.164,3,2,1
39.773,-86.1635,5,3,2
39.773,-86.163,39,14,25
39.773,-86.1615,21,9,12
39.773,-86.161,23,8,15
39.773,-86.1595,43,9,34
39.773,-86.1575,30,13,17
39.773,-86.156,37,11,26
39.773,-86.154,29,9,20
39.773,-86.152,32,4,28
39.773,-86.1505,34,10,24
39.7735,-86.1665,34,8,26
39.7735,-86.1645,6,3,3
39.7735,-86.164,4,3,1
39.7735,-86.163,30,12,18
39.7735,-86.1615,8,3,5
