pcell_channel,total_sample,mw,sub6,lte
850,3753229,0.32556446728936606,0.18840843444404803,0.4860270982665859
5110,902613,0.05887129921682936,2.2157890480194726e-06,0.9411264849941227
66936,305357,0.07041921423121134,0.515884685794005,0.4136960999747836
9820,496638,0.13781869289099907,0.5251954139634906,0.3369858931455104
66486,101717,0.02134353156306222,0.3095156168585389,0.6691408515783989
66661,13624,0.08176746917204933,0.19260129183793306,0.7256312389900176
5330,53329,0.0,0.0,1.0
9840,50177,0.0008171074396635909,0.4267094485521255,0.572473444008211
67086,676015,0.044464989682181606,0.6291502407490958,0.3263847695687226
675,2357060,0.036726684938016,0.5450994034941834,0.41817391156780054
1025,51487,0.005166352671548158,0.158331229242333,0.8365024180861188
66686,1016365,0.03726122013253113,0.4897610602490247,0.47297771961844415
