grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_ratio,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-86.1675,39.761,9933,8210,0.826537803,96,0.009664754,8306,0.836202557,1627,0.163797443,36,7,0.194444444,4,0.111111111,11,0.305555556,25,0.694444444
-86.167,39.761,5488,620,0.112973761,1255,0.228680758,1875,0.341654519,3613,0.658345481,102,12,0.117647059,22,0.215686275,34,0.333333333,68,0.666666667
-86.167,39.7615,20070,2003,0.099800698,5008,0.249526657,7011,0.349327354,13059,0.650672646,129,19,0.147286822,27,0.209302326,46,0.356589147,83,0.643410853
-86.167,39.762,610,0,0,211,0.345901639,211,0.345901639,399,0.654098361,12,0,0,5,0.416666667,5,0.416666667,7,0.583333333
-86.167,39.763,421,0,0,52,0.123515439,52,0.123515439,369,0.876484561,22,0,0,3,0.136363636,3,0.136363636,19,0.863636364
-86.167,39.7635,530,0,0,38,0.071698113,38,0.071698113,492,0.928301887,12,0,0,1,0.083333333,1,0.083333333,11,0.916666667
-86.167,39.764,3165,0,0,217,0.068562401,217,0.068562401,2948,0.931437599,25,0,0,5,0.2,5,0.2,20,0.8
-86.167,39.7645,721,0,0,43,0.05963939,43,0.05963939,678,0.94036061,23,0,0,3,0.130434783,3,0.130434783,20,0.869565217
-86.167,39.765,1898,0,0,0,0,0,0,1898,1,16,0,0,0,0,0,0,16,1
-86.167,39.7655,1749,0,0,0,0,0,0,1749,1,30,0,0,0,0,0,0,30,1
-86.167,39.766,7086,424,0.059836297,24,0.00338696,448,0.063223257,6638,0.936776743,59,16,0.271186441,2,0.033898305,18,0.305084746,41,0.694915254
-86.167,39.7665,1306,709,0.54287902,35,0.026799387,744,0.569678407,562,0.430321593,36,13,0.361111111,1,0.027777778,14,0.388888889,22,0.611111111
-86.167,39.767,2274,880,0.386983289,562,0.247141601,1442,0.63412489,832,0.36587511,44,22,0.5,1,0.022727273,23,0.522727273,21,0.477272727
-86.167,39.7675,1010,245,0.242574257,3,0.002970297,248,0.245544554,762,0.754455446,26,9,0.346153846,1,0.038461538,10,0.384615385,16,0.615384615
-86.167,39.768,618,222,0.359223301,0,0,222,0.359223301,396,0.640776699,12,5,0.416666667,0,0,5,0.416666667,7,0.583333333
-86.167,39.7685,2801,2507,0.895037487,0,0,2507,0.895037487,294,0.104962513,22,12,0.545454545,0,0,12,0.545454545,10,0.454545455
-86.167,39.769,488,320,0.655737705,0,0,320,0.655737705,168,0.344262295,17,9,0.529411765,0,0,9,0.529411765,8,0.470588235
-86.167,39.7695,778,517,0.664524422,0,0,517,0.664524422,261,0.335475578,9,6,0.666666667,0,0,6,0.666666667,3,0.333333333
-86.167,39.77,3457,748,0.216372577,0,0,748,0.216372577,2709,0.783627423,34,13,0.382352941,0,0,13,0.382352941,21,0.617647059
-86.167,39.7705,1515,805,0.531353135,0,0,805,0.531353135,710,0.468646865,33,12,0.363636364,0,0,12,0.363636364,21,0.636363636
-86.167,39.771,806,299,0.370967742,23,0.02853598,322,0.399503722,484,0.600496278,23,6,0.260869565,1,0.043478261,7,0.304347826,16,0.695652174
-86.167,39.7715,848,426,0.502358491,0,0,426,0.502358491,422,0.497641509,27,7,0.259259259,0,0,7,0.259259259,20,0.740740741
-86.167,39.774,2546,0,0,1585,0.622545169,1585,0.622545169,961,0.377454831,11,0,0,6,0.545454545,6,0.545454545,5,0.454545455
-86.1665,39.7615,7489,260,0.034717586,1384,0.18480438,1644,0.219521966,5845,0.780478034,68,5,0.073529412,15,0.220588235,20,0.294117647,48,0.705882353
