grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_ratio,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-87.6835,41.8775,2301,0,0,971,0.421990439,971,0.421990439,1330,0.578009561,9,0,0,4,0.444444444,4,0.444444444,5,0.555555556
-87.6835,41.878,474,0,0,207,0.436708861,207,0.436708861,267,0.563291139,9,0,0,4,0.444444444,4,0.444444444,5,0.555555556
-87.6835,41.8785,1296,0,0,583,0.449845679,583,0.449845679,713,0.550154321,11,0,0,5,0.454545455,5,0.454545455,6,0.545454545
-87.6835,41.879,6623,0,0,6358,0.959987921,6358,0.959987921,265,0.040012079,13,0,0,8,0.615384615,8,0.615384615,5,0.384615385
-87.6835,41.8795,1103,0,0,758,0.687216682,758,0.687216682,345,0.312783318,13,0,0,8,0.615384615,8,0.615384615,5,0.384615385
-87.6835,41.88,915,0,0,540,0.590163934,540,0.590163934,375,0.409836066,13,0,0,8,0.615384615,8,0.615384615,5,0.384615385
-87.6835,41.8805,1274,0,0,1016,0.797488226,1016,0.797488226,258,0.202511774,12,0,0,7,0.583333333,7,0.583333333,5,0.416666667
-87.6835,41.881,2654,0,0,1527,0.57535795,1527,0.57535795,1127,0.42464205,14,0,0,8,0.571428571,8,0.571428571,6,0.428571429
-87.6835,41.8815,488,0,0,229,0.469262295,229,0.469262295,259,0.530737705,4,0,0,3,0.75,3,0.75,1,0.25
-87.6835,41.882,838,0,0,473,0.564439141,473,0.564439141,365,0.435560859,8,0,0,6,0.75,6,0.75,2,0.25
-87.6835,41.8825,560,0,0,516,0.921428571,516,0.921428571,44,0.078571429,10,0,0,7,0.7,7,0.7,3,0.3
-87.6835,41.883,781,0,0,510,0.653008963,510,0.653008963,271,0.346991037,14,0,0,11,0.785714286,11,0.785714286,3,0.214285714
-87.6835,41.8835,86,0,0,0,0,0,0,86,1,1,0,0,0,0,0,0,1,1
