grid_lat,grid_lon,coverage_type,total_rss_num,mw_rss_num,sub6_rss_num,lte_rss_num
41.8775,-87.6835,T011,509,0,0,509
41.8775,-87.683,T011,292,0,0,292
41.8775,-87.6825,T011,288,0,0,288
41.8775,-87.682,T011,276,0,0,276
41.8775,-87.6815,T011,453,0,64,389
41.8775,-87.681,T011,4825,0,1863,2962
41.8775,-87.6805,T011,1037,0,383,654
41.8775,-87.68,T011,1014,0,400,614
41.8775,-87.6795,T011,1087,0,405,682
41.8775,-87.679,T011,2735,0,1208,1527
41.8775,-87.6785,T011,1720,0,598,1122
41.8775,-87.678,T011,279,0,109,170
41.8775,-87.6775,T011,315,0,109,206
41.8775,-87.677,T011,673,0,180,493
41.8775,-87.6765,T011,39787,0,10282,29505
41.8775,-87.676,T011,5959,0,1353,4606
41.8775,-87.6755,T011,760,0,171,589
41.8775,-87.675,T011,1504,0,395,1109
41.8775,-87.6745,T011,4380,0,1090,3290
41.8775,-87.674,T011,2297,0,656,1641
41.8775,-87.6735,T011,1873,0,501,1372
41.8775,-87.673,T011,2125,0,509,1616
41.8775,-87.6725,T011,1870,0,499,1371
41.8775,-87.672,T011,2115,0,571,1544
41.8775,-87.6715,T011,12768,0,3754,9014
41.8775,-87.671,T011,8866,0,2152,6714
41.8775,-87.6705,T011,25477,0,6835,18642
41.8775,-87.67,T011,4687,0,1035,3652
41.8775,-87.6695,T011,6850,0,1367,5483
41.8775,-87.669,T011,16244,0,4061,12183
41.8775,-87.6685,T011,4173,0,847,3326
41.8775,-87.668,T011,4673,0,850,3823
41.8775,-87.6675,T011,3508,0,682,2826
41.8775,-87.667,T011,17942,0,3006,14936
41.8775,-87.6665,T011,37551,0,7392,30159
41.878,-87.6835,T011,406,0,0,406
41.878,-87.681,T011,2420,0,897,1523
41.878,-87.679,T011,478,0,237,241
41.878,-87.6785,T011,5,0,2,3
41.878,-87.6765,T011,12014,0,3569,8445
41.878,-87.676,T011,1118,0,331,787
41.878,-87.6715,T011,5924,0,1304,4620
41.878,-87.67,T011,106,0,28,78
41.878,-87.6695,T011,386,0,66,320
41.878,-87.669,T011,2964,0,615,2349
41.878,-87.6665,T011,4015,0,790,3225
41.8785,-87.6835,T011,1903,0,5,1898
41.8785,-87.683,T011,328,0,0,328
41.8785,-87.6825,T011,300,0,0,300
41.8785,-87.682,T011,212,0,0,212
41.8785,-87.6815,T011,2669,0,859,1810
41.8785,-87.681,T011,9367,0,3350,6017
41.8785,-87.6805,T011,2139,0,599,1540
41.8785,-87.68,T011,4191,0,1049,3142
41.8785,-87.6795,T011,2890,0,771,2119
41.8785,-87.679,T011,3908,0,1073,2835
41.8785,-87.6785,T011,3194,0,1099,2095
41.8785,-87.678,T011,2131,0,563,1568
41.8785,-87.6775,T011,1820,0,632,1188
41.8785,-87.677,T011,1339,0,436,903
41.8785,-87.6765,T011,23994,0,6731,17263
41.8785,-87.676,T011,31404,0,5167,26237
41.8785,-87.6755,T011,4699,0,1042,3657
41.8785,-87.675,T011,4043,0,956,3087
41.8785,-87.6745,T011,4277,0,973,3304
41.8785,-87.674,T011,3536,0,1018,2518
41.8785,-87.6735,T011,3630,0,1021,2609
41.8785,-87.673,T011,4041,0,977,3064
41.8785,-87.6725,T011,4195,0,748,3447
41.8785,-87.672,T011,6771,0,1354,5417
41.8785,-87.6715,T011,40267,0,9149,31118
41.8785,-87.671,T011,4767,0,1493,3274
41.8785,-87.6705,T011,2065,0,597,1468
41.8785,-87.67,T011,2194,0,570,1624
41.8785,-87.6695,T011,2409,0,437,1972
41.8785,-87.669,T011,18305,0,2374,15931
41.8785,-87.6685,T011,28903,0,4332,24571
41.8785,-87.668,T011,16854,0,1569,15285
41.8785,-87.6675,T011,3765,0,672,3093
