grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_ratio,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-86.1665,39.767,1447,0,0,1214,0.838977194,1214,0.838977194,233,0.161022806,9,0,0,5,0.555555556,5,0.555555556,4,0.444444444
-86.1665,39.769,411,0,0,177,0.430656934,177,0.430656934,234,0.569343066,2,0,0,1,0.5,1,0.5,1,0.5
-86.1665,39.7695,632,0,0,229,0.362341772,229,0.362341772,403,0.637658228,3,0,0,1,0.333333333,1,0.333333333,2,0.666666667
-86.1665,39.77,799,0,0,721,0.902377972,721,0.902377972,78,0.097622028,15,0,0,8,0.533333333,8,0.533333333,7,0.466666667
-86.1665,39.771,573,0,0,512,0.893542757,512,0.893542757,61,0.106457243,10,0,0,5,0.5,5,0.5,5,0.5
-86.1665,39.7715,2629,0,0,2586,0.983643971,2586,0.983643971,43,0.016356029,6,0,0,4,0.666666667,4,0.666666667,2,0.333333333
-86.1665,39.772,341,0,0,290,0.850439883,290,0.850439883,51,0.149560117,9,0,0,6,0.666666667,6,0.666666667,3,0.333333333
-86.1665,39.7725,708,0,0,304,0.429378531,304,0.429378531,404,0.570621469,10,0,0,7,0.7,7,0.7,3,0.3
-86.1665,39.773,1914,0,0,1896,0.990595611,1896,0.990595611,18,0.009404389,15,0,0,10,0.666666667,10,0.666666667,5,0.333333333
-86.1665,39.7735,396,0,0,390,0.984848485,390,0.984848485,6,0.015151515,10,0,0,8,0.8,8,0.8,2,0.2
-86.1665,39.774,1678,0,0,1628,0.970202622,1628,0.970202622,50,0.029797378,10,0,0,9,0.9,9,0.9,1,0.1
-86.1665,39.7745,232,0,0,227,0.978448276,227,0.978448276,5,0.021551724,5,0,0,3,0.6,3,0.6,2,0.4
-86.1665,39.775,1431,0,0,1099,0.76799441,1099,0.76799441,332,0.23200559,7,0,0,6,0.857142857,6,0.857142857,1,0.142857143
-86.166,39.767,346,0,0,289,0.835260116,289,0.835260116,57,0.164739884,10,0,0,6,0.6,6,0.6,4,0.4
-86.166,39.77,189,0,0,189,1,189,1,0,0,2,0,0,2,1,2,1,0,0
-86.166,39.7715,139,0,0,131,0.942446043,131,0.942446043,8,0.057553957,7,0,0,5,0.714285714,5,0.714285714,2,0.285714286
-86.166,39.774,2007,0,0,2000,0.996512207,2000,0.996512207,7,0.003487793,11,0,0,9,0.818181818,9,0.818181818,2,0.181818182
-86.1655,39.767,304,0,0,265,0.871710526,265,0.871710526,39,0.128289474,10,0,0,7,0.7,7,0.7,3,0.3
-86.1655,39.77,182,0,0,182,1,182,1,0,0,2,0,0,2,1,2,1,0,0
-86.1655,39.771,156,0,0,144,0.923076923,144,0.923076923,12,0.076923077,10,0,0,7,0.7,7,0.7,3,0.3
-86.1655,39.774,376,0,0,328,0.872340426,328,0.872340426,48,0.127659574,19,0,0,14,0.736842105,14,0.736842105,5,0.263157895
-86.165,39.767,632,0,0,590,0.933544304,590,0.933544304,42,0.066455696,8,0,0,6,0.75,6,0.75,2,0.25
-86.165,39.77,169,0,0,169,1,169,1,0,0,2,0,0,2,1,2,1,0,0
-86.165,39.771,214,0,0,214,1,214,1,0,0,3,0,0,3,1,3,1,0,0
-86.165,39.774,376,0,0,339,0.901595745,339,0.901595745,37,0.098404255,5,0,0,4,0.8,4,0.8,1,0.2
-86.1645,39.767,296,0,0,255,0.861486486,255,0.861486486,41,0.138513514,8,0,0,5,0.625,5,0.625,3,0.375
-86.1645,39.77,148,0,0,148,1,148,1,0,0,2,0,0,2,1,2,1,0,0
-86.1645,39.771,219,0,0,219,1,219,1,0,0,3,0,0,3,1,3,1,0,0
-86.1645,39.774,1767,0,0,1726,0.976796831,1726,0.976796831,41,0.023203169,7,0,0,5,0.714285714,5,0.714285714,2,0.285714286
-86.164,39.767,291,0,0,253,0.869415808,253,0.869415808,38,0.130584192,7,0,0,5,0.714285714,5,0.714285714,2,0.285714286
-86.164,39.77,146,0,0,146,1,146,1,0,0,2,0,0,2,1,2,1,0,0
-86.164,39.771,237,0,0,237,1,237,1,0,0,3,0,0,3,1,3,1,0,0
-86.164,39.774,367,0,0,311,0.847411444,311,0.847411444,56,0.152588556,19,0,0,13,0.684210526,13,0.684210526,6,0.315789474
-86.1635,39.767,300,0,0,267,0.89,267,0.89,33,0.11,6,0,0,5,0.833333333,5,0.833333333,1,0.166666667
-86.1635,39.7695,1410,0,0,1331,0.943971631,1331,0.943971631,79,0.056028369,3,0,0,2,0.666666667,2,0.666666667,1,0.333333333
-86.1635,39.77,1410,0,0,1398,0.991489362,1398,0.991489362,12,0.008510638,11,0,0,8,0.727272727,8,0.727272727,3,0.272727273
-86.1635,39.771,756,0,0,756,1,756,1,0,0,4,0,0,4,1,4,1,0,0
-86.1635,39.774,369,0,0,326,0.883468835,326,0.883468835,43,0.116531165,9,0,0,7,0.777777778,7,0.777777778,2,0.222222222
-86.163,39.767,637,0,0,567,0.89010989,567,0.89010989,70,0.10989011,12,0,0,8,0.666666667,8,0.666666667,4,0.333333333
-86.163,39.77,3358,0,0,2736,0.814770697,2736,0.814770697,622,0.185229303,30,0,0,20,0.666666667,20,0.666666667,10,0.333333333
-86.163,39.7705,1270,0,0,937,0.737795276,937,0.737795276,333,0.262204724,30,0,0,20,0.666666667,20,0.666666667,10,0.333333333
-86.163,39.771,5677,0,0,4463,0.786154659,4463,0.786154659,1214,0.213845341,48,0,0,31,0.645833333,31,0.645833333,17,0.354166667
-86.163,39.7715,6403,0,0,1131,0.176635952,1131,0.176635952,5272,0.823364048,9,0,0,5,0.555555556,5,0.555555556,4,0.444444444
-86.163,39.772,1508,0,0,1003,0.665119363,1003,0.665119363,505,0.334880637,11,0,0,11,1,11,1,0,0
-86.163,39.7725,9161,0,0,3339,0.36447986,3339,0.36447986,5822,0.63552014,11,0,0,11,1,11,1,0,0
-86.163,39.773,1325,0,0,1316,0.993207547,1316,0.993207547,9,0.006792453,9,0,0,7,0.777777778,7,0.777777778,2,0.222222222
-86.163,39.7735,403,0,0,403,1,403,1,0,0,5,0,0,5,1,5,1,0,0
-86.163,39.774,899,0,0,828,0.921023359,828,0.921023359,71,0.078976641,14,0,0,11,0.785714286,11,0.785714286,3,0.214285714
-86.163,39.7745,468,0,0,412,0.88034188,412,0.88034188,56,0.11965812,8,0,0,7,0.875,7,0.875,1,0.125
-86.163,39.775,785,0,0,729,0.92866242,729,0.92866242,56,0.07133758,9,0,0,7,0.777777778,7,0.777777778,2,0.222222222
-86.163,39.7755,856,0,0,790,0.922897196,790,0.922897196,66,0.077102804,8,0,0,6,0.75,6,0.75,2,0.25
-86.163,39.776,419,0,0,363,0.866348449,363,0.866348449,56,0.133651551,4,0,0,3,0.75,3,0.75,1,0.25
-86.163,39.7765,272,0,0,213,0.783088235,213,0.783088235,59,0.216911765,4,0,0,3,0.75,3,0.75,1,0.25
-86.163,39.777,276,0,0,218,0.789855072,218,0.789855072,58,0.210144928,4,0,0,3,0.75,3,0.75,1,0.25
-86.163,39.7775,281,0,0,223,0.793594306,223,0.793594306,58,0.206405694,4,0,0,3,0.75,3,0.75,1,0.25
-86.1625,39.767,325,0,0,286,0.88,286,0.88,39,0.12,12,0,0,10,0.833333333,10,0.833333333,2,0.166666667
-86.1625,39.7695,512,0,0,512,1,512,1,0,0,4,0,0,4,1,4,1,0,0
-86.1625,39.77,1191,0,0,929,0.780016793,929,0.780016793,262,0.219983207,33,0,0,23,0.696969697,23,0.696969697,10,0.303030303
-86.1625,39.771,1712,0,0,1146,0.669392523,1146,0.669392523,566,0.330607477,15,0,0,9,0.6,9,0.6,6,0.4
-86.1625,39.7725,1490,0,0,193,0.129530201,193,0.129530201,1297,0.870469799,5,0,0,5,1,5,1,0,0
-86.1625,39.774,265,0,0,265,1,265,1,0,0,2,0,0,2,1,2,1,0,0
-86.1625,39.7755,88,0,0,88,1,88,1,0,0,1,0,0,1,1,1,1,0,0
-86.162,39.767,352,0,0,303,0.860795455,303,0.860795455,49,0.139204545,15,0,0,10,0.666666667,10,0.666666667,5,0.333333333
-86.162,39.7695,260,0,0,229,0.880769231,229,0.880769231,31,0.119230769,12,0,0,7,0.583333333,7,0.583333333,5,0.416666667
-86.162,39.77,2557,0,0,2146,0.839264763,2146,0.839264763,411,0.160735237,35,0,0,25,0.714285714,25,0.714285714,10,0.285714286
-86.162,39.771,2537,0,0,978,0.385494679,978,0.385494679,1559,0.614505321,32,0,0,24,0.75,24,0.75,8,0.25
-86.162,39.7725,516,0,0,154,0.298449612,154,0.298449612,362,0.701550388,7,0,0,6,0.857142857,6,0.857142857,1,0.142857143
-86.162,39.774,274,0,0,274,1,274,1,0,0,2,0,0,2,1,2,1,0,0
-86.162,39.7755,74,0,0,74,1,74,1,0,0,1,0,0,1,1,1,1,0,0
-86.1615,39.767,1928,0,0,1655,0.85840249,1655,0.85840249,273,0.14159751,29,0,0,20,0.689655172,20,0.689655172,9,0.310344828
-86.1615,39.7685,360,0,0,268,0.744444444,268,0.744444444,92,0.255555556,8,0,0,5,0.625,5,0.625,3,0.375
-86.1615,39.7695,2029,0,0,1756,0.865450961,1756,0.865450961,273,0.134549039,10,0,0,7,0.7,7,0.7,3,0.3
-86.1615,39.77,5310,0,0,4045,0.761770245,4045,0.761770245,1265,0.238229755,57,0,0,41,0.719298246,41,0.719298246,16,0.280701754
-86.1615,39.7705,1605,0,0,1207,0.752024922,1207,0.752024922,398,0.247975078,23,0,0,16,0.695652174,16,0.695652174,7,0.304347826
-86.1615,39.771,9878,0,0,5144,0.520753189,5144,0.520753189,4734,0.479246811,45,0,0,32,0.711111111,32,0.711111111,13,0.288888889
-86.1615,39.7715,8749,0,0,6069,0.693679278,6069,0.693679278,2680,0.306320722,21,0,0,15,0.714285714,15,0.714285714,6,0.285714286
-86.1615,39.772,5940,0,0,3547,0.597138047,3547,0.597138047,2393,0.402861953,32,0,0,16,0.5,16,0.5,16,0.5
-86.1615,39.7725,2491,0,0,1992,0.799678844,1992,0.799678844,499,0.200321156,26,0,0,17,0.653846154,17,0.653846154,9,0.346153846
-86.1615,39.773,217,0,0,214,0.986175115,214,0.986175115,3,0.013824885,6,0,0,5,0.833333333,5,0.833333333,1,0.166666667
-86.1615,39.774,291,0,0,276,0.948453608,276,0.948453608,15,0.051546392,12,0,0,9,0.75,9,0.75,3,0.25
-86.1615,39.7755,77,0,0,77,1,77,1,0,0,1,0,0,1,1,1,1,0,0
-86.161,39.767,910,0,0,857,0.941758242,857,0.941758242,53,0.058241758,9,0,0,8,0.888888889,8,0.888888889,1,0.111111111
-86.161,39.7695,321,0,0,321,1,321,1,0,0,9,0,0,9,1,9,1,0,0
-86.161,39.77,407,0,0,401,0.985257985,401,0.985257985,6,0.014742015,5,0,0,4,0.8,4,0.8,1,0.2
-86.161,39.771,2214,0,0,1384,0.625112918,1384,0.625112918,830,0.374887082,23,0,0,17,0.739130435,17,0.739130435,6,0.260869565
-86.161,39.7715,2583,0,0,1843,0.713511421,1843,0.713511421,740,0.286488579,15,0,0,11,0.733333333,11,0.733333333,4,0.266666667
-86.161,39.772,471,0,0,446,0.946921444,446,0.946921444,25,0.053078556,9,0,0,7,0.777777778,7,0.777777778,2,0.222222222
-86.161,39.7725,10276,0,0,6698,0.651810043,6698,0.651810043,3578,0.348189957,34,0,0,24,0.705882353,24,0.705882353,10,0.294117647
-86.161,39.773,168,0,0,164,0.976190476,164,0.976190476,4,0.023809524,9,0,0,8,0.888888889,8,0.888888889,1,0.111111111
-86.161,39.7735,271,0,0,260,0.959409594,260,0.959409594,11,0.040590406,16,0,0,13,0.8125,13,0.8125,3,0.1875
-86.161,39.774,2670,0,0,2568,0.961797753,2568,0.961797753,102,0.038202247,33,0,0,24,0.727272727,24,0.727272727,9,0.272727273
-86.161,39.7745,244,0,0,219,0.897540984,219,0.897540984,25,0.102459016,5,0,0,4,0.8,4,0.8,1,0.2
-86.161,39.775,222,0,0,222,1,222,1,0,0,3,0,0,3,1,3,1,0,0
-86.161,39.7755,1498,0,0,1494,0.997329773,1494,0.997329773,4,0.002670227,6,0,0,5,0.833333333,5,0.833333333,1,0.166666667
-86.161,39.7765,316,0,0,288,0.911392405,288,0.911392405,28,0.088607595,6,0,0,3,0.5,3,0.5,3,0.5
-86.161,39.777,71,0,0,71,1,71,1,0,0,1,0,0,1,1,1,1,0,0
-86.1605,39.767,336,0,0,284,0.845238095,284,0.845238095,52,0.154761905,14,0,0,12,0.857142857,12,0.857142857,2,0.142857143
-86.1605,39.7695,338,0,0,338,1,338,1,0,0,7,0,0,7,1,7,1,0,0
-86.1605,39.77,413,0,0,403,0.975786925,403,0.975786925,10,0.024213075,8,0,0,5,0.625,5,0.625,3,0.375
-86.1605,39.771,2022,0,0,1248,0.617210682,1248,0.617210682,774,0.382789318,41,0,0,28,0.682926829,28,0.682926829,13,0.317073171
-86.1605,39.7725,1781,0,0,1071,0.601347558,1071,0.601347558,710,0.398652442,17,0,0,12,0.705882353,12,0.705882353,5,0.294117647
-86.1605,39.774,402,0,0,393,0.97761194,393,0.97761194,9,0.02238806,11,0,0,9,0.818181818,9,0.818181818,2,0.181818182
-86.1605,39.7755,247,0,0,247,1,247,1,0,0,3,0,0,3,1,3,1,0,0
-86.16,39.767,303,0,0,263,0.867986799,263,0.867986799,40,0.132013201,12,0,0,11,0.916666667,11,0.916666667,1,0.083333333
-86.16,39.7695,2743,0,0,2708,0.987240248,2708,0.987240248,35,0.012759752,26,0,0,17,0.653846154,17,0.653846154,9,0.346153846
-86.16,39.77,345,0,0,317,0.91884058,317,0.91884058,28,0.08115942,13,0,0,8,0.615384615,8,0.615384615,5,0.384615385
-86.16,39.771,3505,0,0,2597,0.740941512,2597,0.740941512,908,0.259058488,37,0,0,27,0.72972973,27,0.72972973,10,0.27027027
-86.16,39.7725,1628,0,0,934,0.573710074,934,0.573710074,694,0.426289926,20,0,0,13,0.65,13,0.65,7,0.35
-86.16,39.774,353,0,0,346,0.980169972,346,0.980169972,7,0.019830028,9,0,0,7,0.777777778,7,0.777777778,2,0.222222222
-86.16,39.7755,187,0,0,182,0.973262032,182,0.973262032,5,0.026737968,5,0,0,4,0.8,4,0.8,1,0.2
-86.1595,39.7665,142,0,0,142,1,142,1,0,0,1,0,0,1,1,1,1,0,0
-86.1595,39.767,4041,0,0,3869,0.957436278,3869,0.957436278,172,0.042563722,27,0,0,23,0.851851852,23,0.851851852,4,0.148148148
-86.1595,39.7675,305,0,0,237,0.77704918,237,0.77704918,68,0.22295082,4,0,0,3,0.75,3,0.75,1,0.25
-86.1595,39.768,1284,0,0,1072,0.834890966,1072,0.834890966,212,0.165109034,9,0,0,5,0.555555556,5,0.555555556,4,0.444444444
-86.1595,39.7695,1282,0,0,1029,0.802652106,1029,0.802652106,253,0.197347894,14,0,0,10,0.714285714,10,0.714285714,4,0.285714286
-86.1595,39.77,800,0,0,728,0.91,728,0.91,72,0.09,16,0,0,12,0.75,12,0.75,4,0.25
-86.1595,39.7705,413,0,0,366,0.886198547,366,0.886198547,47,0.113801453,3,0,0,3,1,3,1,0,0
-86.1595,39.771,14294,0,0,9929,0.694627116,9929,0.694627116,4365,0.305372884,39,0,0,29,0.743589744,29,0.743589744,10,0.256410256
-86.1595,39.7715,993,0,0,409,0.411883182,409,0.411883182,584,0.588116818,3,0,0,3,1,3,1,0,0
-86.1595,39.772,1578,0,0,408,0.258555133,408,0.258555133,1170,0.741444867,3,0,0,3,1,3,1,0,0
-86.1595,39.7725,6689,0,0,2980,0.44550755,2980,0.44550755,3709,0.55449245,39,0,0,28,0.717948718,28,0.717948718,11,0.282051282
-86.1595,39.773,14368,0,0,14211,0.98907294,14211,0.98907294,157,0.01092706,40,0,0,23,0.575,23,0.575,17,0.425
-86.1595,39.7735,346,0,0,346,1,346,1,0,0,3,0,0,3,1,3,1,0,0
-86.1595,39.774,675,0,0,671,0.994074074,671,0.994074074,4,0.005925926,10,0,0,9,0.9,9,0.9,1,0.1
-86.1595,39.7745,196,0,0,192,0.979591837,192,0.979591837,4,0.020408163,9,0,0,8,0.888888889,8,0.888888889,1,0.111111111
-86.1595,39.775,714,0,0,691,0.967787115,691,0.967787115,23,0.032212885,13,0,0,9,0.692307692,9,0.692307692,4,0.307692308
-86.1595,39.7755,20574,0,0,19759,0.960386896,19759,0.960386896,815,0.039613104,67,0,0,38,0.567164179,38,0.567164179,29,0.432835821
-86.1595,39.776,265,0,0,231,0.871698113,231,0.871698113,34,0.128301887,5,0,0,4,0.8,4,0.8,1,0.2
-86.1595,39.7765,193,0,0,178,0.922279793,178,0.922279793,15,0.077720207,8,0,0,6,0.75,6,0.75,2,0.25
-86.1595,39.777,173,0,0,169,0.976878613,169,0.976878613,4,0.023121387,5,0,0,4,0.8,4,0.8,1,0.2
-86.1595,39.7775,13165,0,0,13009,0.988150399,13009,0.988150399,156,0.011849601,41,0,0,22,0.536585366,22,0.536585366,19,0.463414634
-86.159,39.767,943,0,0,812,0.861081654,812,0.861081654,131,0.138918346,20,0,0,18,0.9,18,0.9,2,0.1
-86.159,39.7695,536,0,0,506,0.944029851,506,0.944029851,30,0.055970149,26,0,0,19,0.730769231,19,0.730769231,7,0.269230769
-86.159,39.77,59,0,0,59,1,59,1,0,0,2,0,0,2,1,2,1,0,0
-86.159,39.771,1358,0,0,1120,0.824742268,1120,0.824742268,238,0.175257732,75,0,0,58,0.773333333,58,0.773333333,17,0.226666667
