grid_lat,grid_lon,cell_num,nr_cell_num,lte_cell_num
41.889,-87.632,35,6,29
41.889,-87.6315,15,5,10
41.889,-87.631,29,5,24
41.889,-87.6305,27,3,24
41.889,-87.6295,17,3,14
41.889,-87.629,24,3,21
41.889,-87.6285,25,4,21
41.889,-87.628,55,6,49
41.889,-87.6275,46,6,40
41.889,-87.627,20,2,18
41.889,-87.6265,86,4,82
41.889,-87.626,34,3,31
41.889,-87.6255,32,2,30
41.8895,-87.632,50,4,46
41.8895,-87.6315,47,2,45
41.8895,-87.631,34,3,31
41.8895,-87.6305,45,3,42
41.8895,-87.63,37,5,32
41.8895,-87.6295,54,7,47
41.8895,-87.629,20,0,20
41.8895,-87.6285,33,3,30
41.8895,-87.628,59,7,52
41.8895,-87.6275,22,6,16
41.8895,-87.6265,96,4,92
41.8895,-87.626,30,0,30
41.8895,-87.6255,6,2,4
41.89,-87.632,44,2,42
41.89,-87.6315,47,3,44
41.89,-87.631,36,4,32
41.89,-87.6305,36,4,32
41.89,-87.63,42,6,36
41.89,-87.6295,61,6,55
41.89,-87.629,82,7,75
41.89,-87.6285,74,5,69
41.89,-87.628,106,8,98
41.89,-87.6275,84,7,77
41.89,-87.627,92,7,85
41.89,-87.6265,134,10,124
41.89,-87.626,32,3,29
41.89,-87.6255,31,4,27
41.891,-87.632,8,1,7
41.891,-87.6295,29,6,23
41.891,-87.628,39,4,35
41.891,-87.6275,26,3,23
41.891,-87.6265,78,5,73
41.891,-87.626,4,2,2
41.891,-87.6255,23,5,18
41.891,-87.625,34,4,30
41.891,-87.6245,18,6,12
41.891,-87.624,153,11,142
41.891,-87.6235,55,3,52
41.891,-87.623,13,4,9
41.891,-87.6225,24,3,21
41.891,-87.622,33,5,28
41.891,-87.6215,36,5,31
41.891,-87.621,23,5,18
41.891,-87.6205,22,4,18
41.891,-87.62,31,1,30
41.8915,-87.632,114,5,109
41.8915,-87.6315,98,10,88
41.8915,-87.631,90,9,81
41.8915,-87.6305,84,11,73
41.8915,-87.63,81,9,72
41.8915,-87.6295,97,13,84
41.8915,-87.629,87,7,80
41.8915,-87.6285,72,6,66
41.8915,-87.628,81,6,75
41.8915,-87.6275,71,7,64
41.8915,-87.627,47,5,42
41.8915,-87.6265,123,9,114
41.8915,-87.626,81,7,74
41.8915,-87.6255,95,8,87
41.8915,-87.625,113,8,105
41.8915,-87.6245,86,9,77
41.8915,-87.624,155,15,140
41.8915,-87.6235,80,5,75
41.8915,-87.623,73,6,67
