grid_lat,grid_lon,cell_num,nr_cell_num,lte_cell_num
41.889,-87.632,10,2,8
41.889,-87.6315,7,2,5
41.889,-87.631,11,1,10
41.889,-87.6305,10,1,9
41.889,-87.6295,10,2,8
41.889,-87.629,9,3,6
41.889,-87.6285,10,4,6
41.889,-87.628,18,3,15
41.8895,-87.632,19,3,16
41.8895,-87.6315,18,4,14
41.8895,-87.631,12,3,9
41.8895,-87.6305,19,5,14
41.8895,-87.63,11,4,7
41.8895,-87.628,12,3,9
41.8895,-87.6265,26,1,25
41.89,-87.632,13,2,11
41.89,-87.631,10,4,6
41.89,-87.6305,12,5,7
41.89,-87.63,11,3,8
41.89,-87.6285,10,1,9
41.89,-87.628,21,8,13
41.89,-87.6275,17,5,12
41.89,-87.627,40,9,31
41.89,-87.6265,33,8,25
41.89,-87.626,19,8,11
41.89,-87.6255,13,5,8
41.891,-87.632,7,2,5
41.891,-87.6295,14,2,12
41.891,-87.628,20,6,14
41.891,-87.6255,6,2,4
41.891,-87.624,55,15,40
41.891,-87.6235,26,5,21
41.891,-87.622,9,4,5
41.891,-87.6215,14,4,10
41.891,-87.6205,9,5,4
41.891,-87.62,11,5,6
41.8915,-87.632,96,1,95
41.8915,-87.6315,87,5,82
41.8915,-87.631,98,7,91
41.8915,-87.6305,79,4,75
41.8915,-87.63,70,10,60
41.8915,-87.6295,85,12,73
41.8915,-87.629,75,8,67
41.8915,-87.6285,46,2,44
41.8915,-87.628,85,19,66
41.8915,-87.6275,58,8,50
41.8915,-87.627,42,5,37
41.8915,-87.6265,51,8,43
41.8915,-87.626,29,1,28
41.8915,-87.6255,38,8,30
41.8915,-87.625,49,10,39
41.8915,-87.6245,42,7,35
41.8915,-87.624,84,18,66
41.8915,-87.6235,53,9,44
41.8915,-87.623,53,11,42
41.8915,-87.6225,64,8,56
41.8915,-87.622,83,12,71
41.8915,-87.6215,60,8,52
41.8915,-87.621,59,15,44
41.8915,-87.6205,50,6,44
41.8915,-87.62,68,11,57
41.892,-87.632,67,3,64
41.892,-87.6315,56,3,53
41.892,-87.631,98,7,91
41.892,-87.6305,85,8,77
41.892,-87.63,121,15,106
41.892,-87.6295,110,15,95
41.892,-87.629,78,15,63
41.892,-87.6285,71,12,59
41.892,-87.628,99,19,80
41.892,-87.6275,30,5,25
41.892,-87.627,68,10,58
41.892,-87.6265,72,7,65
41.892,-87.626,15,6,9
41.892,-87.6255,15,7,8
41.892,-87.625,15,5,10
41.892,-87.6245,22,3,19
41.892,-87.624,50,17,33
41.892,-87.6235,14,3,11
41.892,-87.6225,11,2,9
41.892,-87.62,66,6,60
41.8925,-87.631,29,7,22
41.8925,-87.6305,23,3,20
41.8925,-87.63,43,3,40
41.8925,-87.6295,47,14,33
41.8925,-87.629,15,2,13
41.8925,-87.6285,17,6,11
41.8925,-87.628,72,17,55
41.8925,-87.627,25,1,24
41.8925,-87.6265,65,8,57
41.8925,-87.626,35,7,28
41.8925,-87.6255,37,2,35
41.8925,-87.625,34,5,29
41.8925,-87.6245,49,5,44
41.8925,-87.624,86,16,70
41.8925,-87.6235,33,6,27
41.8925,-87.623,23,4,19
41.8925,-87.6225,32,7,25
41.8925,-87.622,13,4,9
41.8925,-87.6215,18,4,14
41.8925,-87.621,21,6,15
41.8925,-87.6205,27,7,20
41.8925,-87.62,38,5,33
41.893,-87.6315,21,0,21
41.893,-87.631,35,6,29
41.893,-87.6305,39,11,28
41.893,-87.63,23,11,12
41.893,-87.6295,63,11,52
41.893,-87.629,52,12,40
41.893,-87.6285,51,12,39
41.893,-87.628,69,18,51
41.893,-87.6275,57,10,47
41.893,-87.627,43,4,39
41.893,-87.6265,86,14,72
41.893,-87.626,35,4,31
41.893,-87.6255,34,8,26
41.893,-87.625,30,9,21
41.893,-87.6245,28,10,18
41.893,-87.624,65,13,52
41.893,-87.6235,22,4,18
41.893,-87.623,24,6,18
41.893,-87.6225,36,6,30
41.893,-87.622,8,3,5
41.893,-87.6215,7,2,5
41.893,-87.621,10,2,8
41.893,-87.6205,18,3,15
41.893,-87.62,44,5,39
41.8935,-87.632,20,2,18
41.8935,-87.6315,20,0,20
41.8935,-87.631,28,5,23
41.8935,-87.6305,14,2,12
41.8935,-87.6295,62,2,60
41.8935,-87.628,40,7,33
41.8935,-87.6265,62,14,48
41.8935,-87.624,57,9,48
41.8935,-87.6235,14,4,10
41.8935,-87.6225,32,8,24
41.8935,-87.6215,5,2,3
41.8935,-87.621,6,3,3
41.8935,-87.6205,27,5,22
41.8935,-87.62,52,3,49
41.894,-87.632,8,2,6
41.894,-87.6315,18,2,16
41.894,-87.631,34,4,30
41.894,-87.6305,20,3,17
41.894,-87.63,16,3,13
41.894,-87.6295,61,11,50
41.894,-87.629,61,4,57
41.894,-87.6285,29,2,27
41.894,-87.628,70,14,56
41.894,-87.6275,29,9,20
41.894,-87.627,39,12,27
41.894,-87.6265,53,15,38
41.894,-87.626,15,9,6
41.894,-87.6255,24,15,9
41.894,-87.625,12,4,8
41.894,-87.6245,27,9,18
41.894,-87.624,63,12,51
41.894,-87.6235,30,9,21
41.894,-87.623,19,5,14
41.894,-87.6225,28,8,20
41.894,-87.622,19,8,11
41.894,-87.6215,26,6,20
41.894,-87.621,20,6,14
41.894,-87.6205,27,5,22
41.894,-87.62,48,6,42
41.8945,-87.632,14,3,11
41.8945,-87.6315,11,2,9
41.8945,-87.631,40,6,34
41.8945,-87.6305,15,4,11
41.8945,-87.63,15,5,10
41.8945,-87.6295,23,8,15
41.8945,-87.629,18,7,11
41.8945,-87.6285,10,2,8
41.8945,-87.628,39,11,28
41.8945,-87.6275,8,3,5
41.8945,-87.627,21,12,9
41.8945,-87.6265,29,12,17
41.8945,-87.626,19,9,10
41.8945,-87.6255,26,14,12
41.8945,-87.625,30,17,13
41.8945,-87.6245,44,14,30
41.8945,-87.624,67,11,56
41.8945,-87.6235,45,13,32
41.8945,-87.623,25,8,17
41.8945,-87.6225,38,10,28
41.8945,-87.622,32,5,27
41.8945,-87.6215,28,7,21
41.8945,-87.621,25,5,20
41.8945,-87.62,30,2,28
41.895,-87.631,15,1,14
41.895,-87.6295,19,8,11
41.895,-87.628,32,8,24
41.895,-87.6265,20,9,11
41.895,-87.625,25,13,12
41.895,-87.6245,10,1,9
41.895,-87.624,59,12,47
41.895,-87.6235,18,5,13
41.895,-87.623,8,5,3
41.895,-87.6225,17,7,10
41.895,-87.622,9,5,4
41.895,-87.6215,16,4,12
41.895,-87.621,16,4,12
41.895,-87.6205,12,2,10
41.895,-87.62,23,4,19
41.8955,-87.632,13,2,11
41.8955,-87.6315,17,5,12
41.8955,-87.631,37,5,32
41.8955,-87.6305,11,1,10
41.8955,-87.63,21,5,16
41.8955,-87.6295,40,7,33
41.8955,-87.629,12,4,8
41.8955,-87.6285,11,2,9
41.8955,-87.628,41,9,32
41.8955,-87.6275,33,4,29
41.8955,-87.627,34,5,29
41.8955,-87.6265,52,11,41
41.8955,-87.626,39,9,30
41.8955,-87.6255,55,12,43
41.8955,-87.625,33,8,25
41.8955,-87.6245,39,9,30
41.8955,-87.624,58,10,48
41.8955,-87.6235,35,1,34
41.8955,-87.623,39,4,35
41.8955,-87.6225,51,11,40
41.8955,-87.622,51,8,43
41.8955,-87.6215,42,6,36
41.8955,-87.621,34,6,28
41.8955,-87.6205,32,6,26
41.8955,-87.62,20,4,16
41.896,-87.631,41,5,36
41.896,-87.6295,45,10,35
41.896,-87.628,19,9,10
41.896,-87.6265,32,8,24
41.896,-87.626,5,2,3
41.896,-87.6255,8,1,7
41.896,-87.625,25,11,14
41.896,-87.624,66,11,55
41.896,-87.6225,10,3,7
41.896,-87.62,16,3,13
41.8965,-87.632,41,7,34
41.8965,-87.6315,41,4,37
41.8965,-87.631,41,4,37
41.8965,-87.6305,36,6,30
41.8965,-87.63,23,6,17
41.8965,-87.6295,48,12,36
41.8965,-87.629,25,6,19
41.8965,-87.6285,9,1,8
41.8965,-87.628,24,7,17
41.8965,-87.6275,24,7,17
41.8965,-87.627,39,8,31
41.8965,-87.6265,73,12,61
41.8965,-87.626,66,15,51
41.8965,-87.6255,54,12,42
41.8965,-87.625,76,11,65
41.8965,-87.6245,41,3,38
41.8965,-87.624,58,9,49
41.8965,-87.6235,59,5,54
41.8965,-87.623,42,3,39
41.8965,-87.6225,24,4,20
41.8965,-87.622,23,5,18
41.8965,-87.6215,24,5,19
41.8965,-87.621,27,4,23
41.8965,-87.6205,40,5,35
41.8965,-87.62,43,8,35
41.897,-87.631,20,1,19
41.897,-87.6295,25,6,19
41.897,-87.628,41,11,30
41.897,-87.6265,48,13,35
41.897,-87.6255,8,3,5
41.897,-87.624,11,3,8
41.898,-87.631,15,1,14
41.898,-87.6295,16,5,11
41.898,-87.628,20,9,11
41.8985,-87.631,21,1,20
41.8985,-87.6295,16,8,8
41.8985,-87.628,5,1,4
41.899,-87.632,14,2,12
41.899,-87.6315,18,2,16
41.899,-87.631,28,2,26
