grid_lat,grid_lon,cell_num,nr_cell_num,lte_cell_num
39.7515,-86.1665,75,7,68
39.7515,-86.166,48,2,46
39.7515,-86.1655,41,3,38
39.7515,-86.165,38,3,35
39.7515,-86.1645,35,2,33
39.7515,-86.164,41,2,39
39.7515,-86.1635,57,2,55
39.7515,-86.163,52,2,50
39.7515,-86.1625,45,2,43
39.7515,-86.162,36,1,35
39.7515,-86.1615,35,1,34
39.7515,-86.161,36,1,35
39.7515,-86.1605,40,1,39
39.7515,-86.16,40,1,39
39.7515,-86.1595,42,2,40
39.7515,-86.159,55,2,53
39.752,-86.1665,57,6,51
39.752,-86.166,28,5,23
39.752,-86.159,35,1,34
39.7525,-86.1665,51,6,45
39.7525,-86.166,60,7,53
39.7525,-86.159,33,1,32
39.753,-86.167,13,2,11
39.753,-86.1665,54,9,45
39.753,-86.166,45,6,39
39.753,-86.159,34,1,33
39.753,-86.157,22,0,22
39.7535,-86.167,7,3,4
39.7535,-86.1665,47,4,43
39.7535,-86.166,38,5,33
39.7535,-86.159,42,1,41
39.7535,-86.157,29,0,29
39.754,-86.1665,63,5,58
39.754,-86.166,37,6,31
39.754,-86.159,36,2,34
39.7545,-86.1665,73,8,65
39.7545,-86.166,39,6,33
39.7545,-86.159,30,1,29
39.755,-86.167,64,6,58
39.755,-86.1665,65,7,58
39.755,-86.166,32,6,26
39.755,-86.1655,32,3,29
39.755,-86.159,30,1,29
39.7555,-86.167,66,9,57
39.7555,-86.166,11,5,6
39.7555,-86.1655,36,6,30
39.7555,-86.159,31,2,29
39.756,-86.167,67,9,58
39.756,-86.1655,74,6,68
39.756,-86.1625,8,4,4
39.756,-86.162,28,4,24
39.756,-86.159,50,4,46
39.756,-86.1585,45,2,43
39.756,-86.158,55,2,53
39.756,-86.1575,55,3,52
39.756,-86.157,51,3,48
39.7565,-86.167,152,16,136
39.7565,-86.1665,109,11,98
39.7565,-86.166,109,9,100
39.7565,-86.1655,136,13,123
39.7565,-86.165,85,10,75
39.7565,-86.1645,70,7,63
39.7565,-86.164,69,6,63
39.7565,-86.1635,74,9,65
39.7565,-86.163,80,7,73
39.7565,-86.1625,77,7,70
39.7565,-86.162,207,16,191
39.7565,-86.1615,95,8,87
39.7565,-86.161,74,6,68
39.7565,-86.1605,89,7,82
39.7565,-86.16,81,6,75
39.7565,-86.1595,58,6,52
39.7565,-86.159,87,7,80
39.7565,-86.1585,58,5,53
39.7565,-86.158,49,3,46
39.7565,-86.1575,53,3,50
39.7565,-86.157,48,3,45
39.757,-86.167,80,10,70
39.757,-86.1655,64,8,56
39.757,-86.162,161,10,151
39.757,-86.16,61,4,57
39.757,-86.1595,34,4,30
39.757,-86.159,36,5,31
39.757,-86.157,40,3,37
39.7575,-86.167,67,9,58
39.7575,-86.1655,62,8,54
39.7575,-86.162,139,7,132
39.7575,-86.16,63,4,59
39.7575,-86.1595,43,4,39
39.7575,-86.157,46,3,43
39.758,-86.167,65,10,55
39.758,-86.1655,68,5,63
39.758,-86.162,139,9,130
39.758,-86.1615,51,2,49
39.758,-86.16,61,3,58
39.758,-86.1595,44,4,40
39.758,-86.157,51,4,47
39.7585,-86.167,56,7,49
39.7585,-86.1655,63,5,58
39.7585,-86.162,109,7,102
39.7585,-86.1615,63,9,54
39.7585,-86.161,11,5,6
39.7585,-86.1605,19,5,14
39.7585,-86.16,101,6,95
39.7585,-86.1595,27,3,24
39.7585,-86.1585,22,2,20
39.7585,-86.157,72,3,69
39.759,-86.167,64,9,55
39.759,-86.1655,63,5,58
39.759,-86.162,90,7,83
39.759,-86.1615,71,8,63
39.759,-86.161,19,3,16
39.759,-86.16,78,7,71
39.759,-86.1595,30,2,28
39.759,-86.159,20,4,16
39.759,-86.1585,28,3,25
39.759,-86.158,37,1,36
39.759,-86.1575,47,4,43
39.759,-86.157,53,3,50
39.7595,-86.167,58,9,49
39.7595,-86.1655,77,9,68
39.7595,-86.162,85,5,80
39.7595,-86.1615,61,8,53
39.7595,-86.16,80,7,73
39.7595,-86.1575,68,6,62
39.76,-86.167,47,7,40
39.76,-86.1655,81,8,73
39.76,-86.162,93,6,87
39.76,-86.1615,66,6,60
39.76,-86.16,73,7,66
39.76,-86.158,40,2,38
39.76,-86.1575,69,5,64
39.7605,-86.167,56,8,48
39.7605,-86.1655,79,13,66
39.7605,-86.162,76,5,71
39.7605,-86.1615,89,7,82
39.7605,-86.16,136,7,129
39.7605,-86.1595,13,1,12
39.7605,-86.158,63,7,56
39.7605,-86.1575,31,3,28
39.761,-86.167,50,6,44
39.761,-86.1655,112,21,91
39.761,-86.165,23,4,19
39.761,-86.163,22,3,19
39.761,-86.1625,40,5,35
39.761,-86.162,121,7,114
39.761,-86.1615,125,9,116
39.761,-86.161,77,4,73
39.761,-86.1605,65,4,61
39.761,-86.16,141,13,128
39.761,-86.1595,100,13,87
39.761,-86.159,86,10,76
39.761,-86.1585,76,7,69
39.761,-86.158,94,7,87
39.761,-86.1575,91,8,83
39.761,-86.157,53,3,50
